CementComponent,BlastFurnaceSlag,FlyAshComponent,WaterComponent,SuperplasticizerComponent,CoarseAggregateComponent,FineAggregateComponent,AgeInDays,Strength
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,40.71
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,22.9
133.0,200.0,0.0,192.0,0.0,927.4,839.2,180,41.1
350.0,0.0,0.0,203.0,0.0,974.0,775.0,28,18.13
331.0,0.0,0.0,192.0,0.0,1025.0,868.0,360,39.78
144.0,105.0,113.0,178.0,8.0,892.0,824.0,28,41.1
190.0,0.0,0.0,228.0,0.0,932.0,670.0,28,21.91
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,90,49.97
375.0,0.0,0.0,126.6,23.4,852.1,893.7,7,23.79
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,16.11
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180,42.14
252.3,0.0,98.8,146.3,14.2,987.8,889.0,14,22.35
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,47.81
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7,11.36
374.0,189.2,0.0,170.1,11.1,926.1,756.7,28,42.23
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,74.36
387.0,20.0,94.0,157.0,10.3,938.0,845.0,3,44.28
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3,35.87
307.0,0.0,0.0,193.0,0.0,968.0,812.0,14,24.58
200.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,31.25
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,180,40.93
152.0,174.0,116.0,201.0,10.0,844.0,784.0,28,24.28
262.0,0.0,130.0,178.0,10.0,890.0,638.0,28,33.31
198.6,122.6,0.0,192.0,0.0,978.4,800.0,360,43.8
397.0,0.0,0.0,192.0,0.0,940.6,785.6,90,36.8
166.1,0.0,163.3,176.5,4.5,1059.4,780.1,3,14.31
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,39.15
349.0,0.0,0.0,192.0,0.0,1047.0,806.3,90,21.54
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28,26.85
200.0,0.0,0.0,173.0,0.0,1125.0,613.0,14,31.9
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,56,36.99
289.0,0.0,0.0,192.0,0.0,889.8,811.0,28,24.1
159.1,186.7,0.0,175.6,11.3,989.6,788.9,28,12.18
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,12.18
275.1,0.0,121.9,159.2,9.9,1058.6,780.1,56,44.39
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,56,50.77
147.8,210.2,0.0,203.2,3.1,828.7,709.7,28,59.76
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28,50.51
275.1,0.0,121.9,164.8,9.9,1053.6,777.5,100,51.02
342.0,20.0,94.0,157.0,11.6,966.0,867.0,56,65.2
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,12.18
157.0,236.0,0.0,192.0,12.6,935.7,781.2,91,63.4
298.0,0.0,107.0,164.0,11.6,967.0,712.0,7,20.97
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28,31.74
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180,33.0
331.4,121.0,89.0,192.0,7.0,978.4,825.5,90,31.18
250.2,0.0,0.0,203.5,0.0,966.0,800.0,7,30.45
500.0,0.0,0.0,200.0,0.0,1100.0,820.0,28,44.3
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28,74.36
316.1,210.7,0.0,185.7,0.0,977.0,689.3,90,53.1
289.0,0.0,0.0,192.0,0.0,913.2,895.3,90,36.56
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,15.61
350.0,0.0,0.0,203.0,0.0,974.0,775.0,28,23.74
165.0,128.9,128.6,175.1,7.8,1005.8,746.6,100,71.3
212.0,0.0,125.2,159.0,12.0,1086.8,799.5,100,49.2
212.5,0.0,100.4,159.5,8.7,1005.8,903.8,100,42.42
389.9,137.2,0.0,189.3,0.0,944.7,781.2,3,23.51
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,79.99
145.0,0.0,142.0,168.0,8.0,801.0,801.0,28,41.15
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,43.25
397.0,0.0,0.0,185.0,0.0,1040.0,734.0,7,24.28
203.5,305.3,0.0,203.5,0.0,963.4,630.0,28,26.2
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,36.94
238.1,0.0,94.1,186.7,7.0,949.9,847.0,28,39.16
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100,37.91
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,37.33
491.0,26.0,78.0,162.0,12.0,967.0,699.0,3,13.22
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,46.2
238.2,0.0,0.0,185.7,0.0,1118.8,789.3,28,19.01
333.0,17.5,163.0,167.0,17.9,996.0,652.0,28,55.16
153.0,145.0,113.0,178.0,8.0,1002.0,689.0,28,14.54
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,45.08
116.0,212.5,0.0,203.5,0.0,909.8,891.9,14,24.43
355.0,20.0,86.0,145.0,11.0,967.0,871.0,28,49.97
153.0,102.0,0.0,192.0,0.0,888.0,943.1,3,6.94
307.0,0.0,0.0,193.0,0.0,968.0,812.0,7,8.49
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,37.27
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,54.38
233.8,0.0,94.1,197.9,4.5,946.8,852.2,100,54.6
233.8,0.0,94.6,197.9,4.6,947.0,852.2,56,43.8
540.0,0.0,0.0,182.0,0.0,1100.0,820.0,90,33.8
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14,32.05
439.0,177.0,0.0,186.0,11.6,884.9,709.0,7,21.26
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,30.96
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,36.94
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28,35.87
359.0,19.0,141.0,154.0,10.9,942.0,801.0,7,30.65
116.0,173.0,0.0,192.0,0.0,1002.0,785.6,90,51.04
491.0,0.0,123.0,201.0,3.9,822.0,699.0,3,31.84
313.3,262.2,0.0,175.5,8.9,1046.9,611.8,56,52.42
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90,28.63
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,90,52.2
296.0,0.0,0.0,185.0,0.0,1066.0,769.0,28,21.16
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7,14.14
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,51.04
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,41.37
250.0,132.4,0.0,192.0,0.0,924.1,856.8,7,16.89
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,31.18
281.0,0.0,0.0,186.0,0.0,1124.0,846.0,28,46.23
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.67
424.0,212.0,132.0,168.0,8.9,842.0,750.0,7,55.26
355.9,0.0,0.0,174.8,9.1,1030.0,753.5,28,35.57
331.0,0.0,0.0,192.0,0.0,978.0,825.0,360,41.05
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,100,60.2
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,38.63
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,35.86
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,33.06
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90,53.52
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270,51.33
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,7,19.93
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,56,45.3
385.0,0.0,0.0,186.0,0.0,966.0,763.0,7,10.35
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100,55.65
133.0,0.0,200.0,200.0,0.0,1000.0,833.0,14,47.03
212.6,0.0,100.4,214.6,7.8,1007.3,903.6,3,10.76
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,14,23.7
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,37.27
190.3,0.0,125.2,162.1,9.9,1059.4,804.9,28,29.79
238.1,0.0,0.0,186.7,4.5,947.0,839.2,28,40.15
374.0,0.0,0.0,214.6,0.0,1003.5,762.4,28,32.96
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,28,40.93
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,7,18.91
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7,18.2
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,3,13.09
280.0,129.0,0.0,172.0,9.0,825.0,805.0,28,51.43
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,37.34
522.0,0.0,0.0,146.0,0.0,896.0,896.0,28,39.7
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,9.74
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,100,54.1
500.0,0.0,0.0,200.0,3.0,1124.4,613.2,28,43.7
144.4,0.0,78.0,193.3,11.2,819.2,829.5,28,44.42
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28,74.5
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,15.57
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28,47.4
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56,69.3
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7,21.91
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,25.18
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,100,50.53
254.0,0.0,0.0,198.0,0.0,968.0,863.0,28,10.54
166.1,0.0,163.3,176.5,12.1,1058.6,780.1,14,27.66
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,71.7
305.3,203.5,0.0,203.5,10.4,965.4,695.5,3,30.57
349.0,0.0,0.0,192.0,0.0,1049.0,806.0,90,32.9
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,56,28.63
236.0,0.0,0.0,186.0,0.0,1111.0,784.0,180,36.25
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28,48.28
275.0,0.0,0.0,183.0,0.0,1075.0,808.0,28,33.06
295.0,0.0,94.0,193.0,11.0,968.0,801.0,120,48.72
192.0,288.0,0.0,192.0,0.0,932.0,717.8,28,21.91
251.8,0.0,99.9,188.5,12.4,1028.4,899.8,3,13.52
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3,9.85
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,43.06
203.5,305.3,0.0,203.5,0.0,963.4,630.0,90,52.2
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28,33.76
183.9,122.6,0.0,203.5,0.0,959.2,800.0,7,21.26
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,32.77
222.4,0.0,96.2,189.3,4.5,967.0,870.3,3,11.48
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,40.87
382.0,0.0,0.0,192.0,0.0,940.0,758.0,28,43.8
236.0,157.0,0.0,192.0,0.0,972.6,749.1,3,12.47
298.2,0.0,107.5,158.1,14.3,852.1,880.4,28,45.85
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7,7.4
331.0,0.0,0.0,192.0,0.0,978.0,825.0,90,50.08
302.0,0.0,0.0,203.0,0.0,974.0,817.0,90,47.1
122.6,183.9,0.0,203.5,0.0,959.2,800.1,90,40.71
374.0,0.0,0.0,162.0,9.5,975.6,792.6,3,18.75
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14,25.73
500.0,0.0,0.0,200.0,0.0,1125.0,643.5,91,39.7
387.0,20.0,94.0,157.0,11.6,938.0,845.0,7,18.13
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,21.16
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,50.95
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,38.02
288.0,121.0,0.0,177.0,7.0,1002.0,705.0,28,28.02
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28,22.35
147.0,175.0,0.0,171.0,2.0,1000.0,828.0,28,31.74
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,26.77
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,100,46.23
491.0,26.0,86.0,201.0,3.9,967.0,695.0,28,55.9
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90,39.6
212.0,0.0,143.6,163.8,7.8,1086.8,799.5,100,48.7
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,65.7
500.0,0.0,0.0,200.0,5.0,1125.0,613.0,28,32.96
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,57.23
250.0,157.0,0.0,192.0,0.0,1047.0,806.2,90,50.7
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,8.54
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28,17.2
349.0,0.0,0.0,194.0,0.0,1047.0,806.0,28,21.02
252.3,0.0,98.8,146.3,14.2,987.8,889.0,91,57.92
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90,55.06
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,45.08
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,26.97
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,62.05
500.0,0.0,0.0,200.0,3.0,1124.0,613.0,28,29.55
446.0,24.0,79.0,145.9,11.6,967.0,712.0,3,25.42
203.5,166.8,0.0,203.5,0.0,977.6,694.1,7,28.99
144.0,136.0,106.0,178.0,7.0,941.0,774.0,28,40.86
252.3,0.0,98.8,146.3,12.8,987.8,829.5,14,20.92
166.8,0.0,0.0,203.5,0.0,935.4,781.2,7,27.77
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28,38.7
236.0,0.0,0.0,194.9,0.0,968.0,785.6,7,12.73
238.1,0.0,94.1,197.9,4.6,947.0,852.2,7,11.36
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90,59.09
313.0,145.0,113.0,178.0,8.0,1002.0,689.0,28,8.49
213.5,0.0,174.2,154.6,11.7,1053.5,754.3,100,44.21
387.0,20.0,94.0,157.0,13.9,838.0,845.0,56,59.8
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,73.7
140.0,164.0,143.0,237.0,8.0,869.0,656.0,28,29.79
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28,39.94
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,79.3
153.0,102.0,0.0,192.0,0.0,888.0,943.1,28,33.42
252.3,0.0,98.8,146.3,14.2,987.8,889.0,56,55.5
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,11.39
376.0,0.0,0.0,197.0,0.0,936.0,762.0,180,26.92
166.8,0.0,96.7,189.3,5.8,967.1,696.7,56,33.0
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90,39.3
313.3,145.0,0.0,178.5,8.9,879.8,611.8,28,33.4
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56,42.55
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,10.79
272.8,0.0,0.0,185.0,0.0,1012.4,714.3,3,6.81
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28,35.1
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,56.34
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,35.3
230.0,0.0,118.3,195.5,6.1,1028.4,758.6,7,26.86
212.0,141.3,0.0,203.5,0.0,977.6,748.5,3,19.99
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,10.22
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,21.06
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,25.1
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,3,4.83
350.0,164.0,0.0,203.0,0.0,974.0,775.0,28,39.61
251.4,0.0,118.3,192.9,5.7,1043.6,754.3,3,11.85
295.0,0.0,97.0,191.0,9.0,998.0,801.0,3,6.81
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28,26.05
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90,56.63
255.0,0.0,0.0,192.0,0.0,889.8,945.0,7,24.34
313.0,145.0,132.0,178.0,8.0,1002.0,688.0,28,48.7
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3,13.33
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,80.2
200.0,0.0,0.0,192.0,0.0,965.4,839.2,3,13.36
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,26.86
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90,65.2
425.0,106.3,0.0,151.4,18.6,936.0,803.7,100,44.64
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100,45.9
165.0,128.5,132.1,175.5,8.1,1005.8,746.6,7,22.5
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,56,61.8
331.0,0.0,0.0,180.0,0.0,1025.0,821.0,28,31.54
236.9,91.7,71.5,246.9,6.0,852.9,695.4,28,66.9
237.5,237.5,0.0,228.0,0.0,932.0,670.0,270,50.6
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,9.01
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28,39.32
313.3,116.0,0.0,181.9,6.4,884.9,707.9,28,32.72
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14,19.2
302.0,0.0,0.0,203.0,0.0,1111.0,829.0,7,25.1
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,39.0
289.0,0.0,0.0,192.0,0.0,927.4,758.6,28,25.57
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,23.22
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56,64.3
167.4,129.9,128.6,171.5,9.6,1006.3,746.6,3,18.42
313.0,0.0,0.0,178.0,0.0,1000.0,822.0,7,32.04
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,100,37.27
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,28.94
252.3,0.0,98.8,146.3,24.5,987.8,889.0,28,17.96
249.1,0.0,98.8,158.1,12.8,987.8,889.0,100,50.51
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,9.87
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14,26.06
446.0,0.0,94.0,158.0,16.0,967.0,712.0,3,9.99
310.0,0.0,0.0,192.0,0.0,970.0,850.0,7,28.68
250.0,0.0,0.0,189.0,0.0,1125.0,613.0,28,17.17
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56,43.57
190.7,0.0,125.2,166.6,0.0,1079.0,739.3,7,15.53
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,67.8
135.7,148.5,0.0,193.3,0.0,938.2,845.0,7,23.84
190.0,0.0,125.2,166.6,9.9,1053.6,776.4,14,13.66
349.0,0.0,0.0,192.0,0.0,1047.0,806.2,180,37.92
250.0,0.0,95.7,191.8,5.3,948.9,857.2,28,35.34
385.0,0.0,0.0,186.0,0.0,966.0,763.0,7,24.58
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,27.87
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,33.0
500.0,0.0,0.0,175.0,0.0,1066.0,770.0,28,28.63
480.0,0.0,0.0,192.0,0.0,936.0,721.0,7,17.57
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,47.97
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,17.2
297.0,0.0,0.0,185.0,0.0,1040.0,734.0,28,30.39
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,14.54
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90,43.25
173.8,50.1,59.3,159.5,11.2,967.1,771.9,3,2.33
298.1,0.0,107.0,164.6,12.1,879.0,815.2,28,79.3
333.0,145.0,184.0,200.0,8.0,1033.0,822.0,28,66.42
385.0,0.0,0.0,186.0,0.0,966.0,763.0,180,71.3
475.0,0.0,0.0,228.0,0.0,932.0,781.0,28,74.36
183.9,122.6,0.0,185.7,0.0,959.2,613.2,28,20.59
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3,11.36
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,3,25.61
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,7,21.06
212.0,0.0,100.4,159.4,8.7,1003.8,903.6,3,37.17
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180,43.73
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,90,48.99
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,37.8
322.0,0.0,0.0,203.0,0.0,974.0,800.0,14,16.5
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,29.59
277.1,151.2,0.0,185.7,0.0,967.1,712.2,7,45.3
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,3,23.08
393.0,0.0,0.0,192.0,0.0,940.6,785.6,7,21.86
362.6,189.0,0.0,174.0,9.5,944.7,785.5,28,56.83
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,25.2
288.0,192.0,0.0,192.0,0.0,929.8,717.8,90,50.7
387.0,0.0,94.1,157.9,15.6,938.2,845.0,3,42.8
136.0,162.0,126.0,172.0,10.0,923.0,764.0,28,29.73
122.6,183.4,0.0,203.5,9.1,884.9,611.8,28,16.11
297.2,262.2,107.5,206.5,6.5,953.4,611.8,56,53.69
425.0,106.3,0.0,147.4,16.5,852.1,887.1,56,53.39
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,30.39
202.0,11.0,141.0,206.0,1.7,942.0,801.0,3,11.47
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,28,37.4
182.0,45.2,122.0,170.1,9.0,1019.0,657.9,28,31.97
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14,35.75
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28,56.63
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,10.22
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28,47.1
251.4,0.0,0.0,181.7,10.4,1043.6,754.3,3,11.98
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,28,31.87
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,45.08
296.0,0.0,0.0,192.0,0.0,1085.0,821.0,90,50.53
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,13.71
289.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,35.1
309.9,209.4,0.0,192.0,0.0,935.4,781.2,7,44.28
190.7,0.0,125.2,166.6,9.9,1090.0,798.9,14,42.62
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3,26.15
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,35.23
173.0,116.0,0.0,192.0,0.0,946.8,856.8,90,60.95
387.0,20.0,94.0,157.0,13.9,938.0,845.0,7,34.9
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3,40.93
122.6,183.9,0.0,203.5,0.0,958.2,800.1,3,12.18
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,42.64
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180,29.87
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,37.23
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,120,8.54
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28,17.2
157.0,236.0,0.0,192.0,0.0,935.4,781.2,3,4.9
153.0,0.0,0.0,192.0,0.0,965.4,885.0,3,17.96
165.0,0.0,143.6,164.9,12.2,1005.6,770.1,100,53.52
252.1,0.0,98.8,146.1,14.3,987.8,889.0,100,43.8
192.0,288.0,0.0,192.0,0.0,929.8,716.1,28,38.11
200.0,133.0,0.0,195.0,0.0,965.4,806.2,28,19.69
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,72.3
252.0,0.0,0.0,186.0,0.0,968.0,889.0,3,21.54
190.3,0.0,125.2,159.2,9.9,1088.1,802.6,28,30.12
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,73.7
250.0,0.0,95.7,187.4,5.5,956.9,861.2,3,12.64
310.0,0.0,0.0,192.0,0.0,970.0,850.0,28,30.44
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,38.22
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,21.78
200.0,133.0,0.0,192.0,0.0,965.4,806.2,7,23.85
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,49.2
157.0,116.0,0.0,197.9,6.0,868.4,695.7,28,31.38
310.0,0.0,0.0,193.0,0.0,914.0,821.0,90,50.95
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,75.5
251.4,0.0,118.3,188.5,6.1,1028.4,757.7,14,22.14
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,30.44
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,10.03
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,68.3
151.0,136.0,0.0,178.0,7.0,941.0,774.0,28,56.14
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28,61.86
