city,state,zip,latitude,longitude,admission_rate,sat_verbal_midrange,sat_math_midrange,sat_writing_midrange,act_combined_midrange,act_english_midrange,act_math_midrange,act_writing_midrange,sat_total_average,undergrad_size,percent_white,percent_black,percent_hispanic,percent_asian,percent_part_time,average_cost_academic_year,average_cost_program_year,tuition_(instate),tuition_(out_of_state),spend_per_student,faculty_salary,percent_part_time_faculty,percent_pell_grant,completion_rate,predominant_degree,highest_degree,ownership,region,gender,carnegie_basic_classification,carnegie_undergraduate,carnegie_size,religious_affiliation,percent_female,agege24,faminc,mean_earnings_6_years,median_earnings_6_years,mean_earnings_10_years,median_earnings_10_years
Memphis,TN,38118,35.0771,-89.902,,,,,,,,,,1194.0,0.2387,0.6675,0.0184,0.0034,0.9481,32554.0,,15495.0,15495.0,1773.0,6532.0,0.1415,0.7389,0.0,Bachelors,Graduate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,,,,,,,,44200.0,38900.0,56800.0,51700.0
Moorestown,NJ,8057,39.9489,-74.957,,,,,,,,,,579.0,0.3161,0.4283,0.1174,0.0155,0.3765,,27162.0,,,7210.0,,,0.7352,,Certificate,Certificate,Private for-profit,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,,,,,0.79000002145767,0.4699999988079,25613.73,23400.0,21700.0,39600.0,36200.0
New York,NY,10022-5268,40.7598,-73.9749,0.7502,455.0,445.0,,20.0,20.0,20.0,,907.0,1508.0,0.5908,0.1664,0.1393,0.0458,0.0597,41111.0,,23645.0,23645.0,4491.0,6582.0,0.1065,0.3128,0.4586,Bachelors,Graduate,Private for-profit,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,Special Focus Institutions--Schools of business and management,,,,0.9200000166893,0.05999999865889,86491.86,36300.0,36500.0,48200.0,48900.0
Olathe,KS,66061,38.8826,-94.7986,,,,,,,,,,53.0,0.7736,0.1132,0.0377,0.0,0.2642,,18836.0,,,6263.0,,,0.3942,,Certificate,Certificate,Private for-profit,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,,,,,0.93999999761581,0.50999999046325,25506.64,19500.0,17800.0,22600.0,19400.0
Orlando,FL,32826-4906,,,,,,,,,,,,376.0,0.0319,0.5851,0.2261,0.0106,0.0,,17061.0,,,5069.0,,,0.7781,,Certificate,Certificate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,,,,,,,,,,,
Bourbonnais,IL,60914-2271,41.1555,-87.8737,0.8196,,,,24.0,25.0,24.0,,1105.0,3325.0,0.7973,0.1011,0.0559,0.0177,0.1269,39125.0,,29890.0,29890.0,4740.0,6769.0,0.3516,0.3164,0.5724,Bachelors,Graduate,Private nonprofit,"Great Lakes (IL, IN, MI, OH, WI)",COED,Master's Colleges and Universities (larger programs),"Full-time four-year, selective, lower transfer-in","Medium 4-year, highly residential (3,000 to 9,999)",Church of the Nazarene,0.64999997615814,0.18999999761581,76119.58,33100.0,30500.0,42100.0,37700.0
Flushing,NY,11369,40.7683,-73.8817,0.7706,466.0,523.0,,,,,,989.0,1721.0,0.1679,0.1987,0.3492,0.1046,0.24,30790.0,,20450.0,20450.0,7033.0,9139.0,1.0,0.6509,0.3646,Associate,Graduate,Private nonprofit,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,Baccalaureate/Associate's Colleges,"Medium full-time four-year, selective, higher transfer-in","Small 4-year, primarily nonresidential (1,000 to 2,999)",,0.11999999731779,0.28999999165534,34562.7,47300.0,38500.0,53700.0,50000.0
North Charleston,SC,29406-9235,32.9537,-80.0412,,,,,,,,,,43.0,0.18600000000000003,0.7209,0.0233,0.0,0.7907,27076.0,,,,2284.0,,,0.1542,,Certificate,Certificate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,,,,,0.86000001430511,0.66000002622604,20139.27,19100.0,18200.0,22600.0,20600.0
Johnson,VT,05656-9464,44.6417,-72.6712,0.9688,485.0,470.0,470.0,19.0,19.0,20.0,7.0,948.0,1433.0,0.8437,0.0174,0.0314,0.0105,0.335,20404.0,,10286.0,21950.0,8333.0,6661.0,1.0,0.4962,0.3659,Bachelors,Graduate,Public,"New England (CT, ME, MA, NH, RI, VT)",COED,Master's Colleges and Universities (smaller programs),"Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)","Small 4-year, primarily residential (1,000 to 2,999)",,0.61000001430511,0.34999999403953,55871.96,26500.0,25600.0,34700.0,32200.0
Charlotte,NC,28273,35.1383,-80.9317,,,,,,,,,,62.0,0.129,0.2742,0.0161,0.0323,0.0,,24328.0,,,6898.0,,,0.8761,,Certificate,Certificate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,,,,,,,,20600.0,19400.0,22400.0,19600.0
Mayfield,KY,42066-9007,36.8154,-88.6484,0.7031,425.0,435.0,435.0,20.0,19.0,19.0,,923.0,2142.0,0.7923,0.1382,0.0243,0.0023,0.1494,29971.0,,8673.0,8673.0,2480.0,3324.0,0.2068,0.5635,0.2538,Bachelors,Graduate,Private nonprofit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Baccalaureate Colleges--Diverse Fields,"Full-time four-year, inclusive","Small 4-year, primarily nonresidential (1,000 to 2,999)",Baptist,0.62000000476837,0.80000001192092,50115.89,40400.0,35600.0,46000.0,38300.0
Henderson,NV,89074,36.0223,-115.0966,,,,,,,,,,447.0,0.2908,0.2013,0.1186,0.0671,0.2304,20099.0,,15000.0,15000.0,3340.0,4562.0,,0.6984,0.1818,Bachelors,Bachelors,Private for-profit,"Far West (AK, CA, HI, NV, OR, WA)",COED,"Special Focus Institutions--Schools of art, music, and design",,,,0.60000002384185,0.40000000596046,47819.38,25700.0,23600.0,31100.0,27800.0
Fort Myers,FL,33965-6565,26.4643,-81.7736,0.6579,510.0,510.0,500.0,22.0,22.0,22.0,8.0,1024.0,12795.0,0.6706,0.0717,0.1873,0.0167,0.2081,18097.0,,6118.0,25440.0,6606.0,7382.0,0.6817,0.3467,0.4416,Bachelors,Graduate,Public,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Master's Colleges and Universities (larger programs),"Full-time four-year, selective, higher transfer-in","Medium 4-year, primarily residential (3,000 to 9,999)",,0.6700000166893,0.23000000417232,62264.97,36300.0,35300.0,44000.0,41200.0
East Peoria,IL,61611,40.6454,-89.5465,,,,,,,,,,849.0,0.7008,0.2497,0.0247,0.0024,0.298,,29510.0,,,1521.0,,,0.8271,,Certificate,Certificate,Private for-profit,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,,,,24000.0,22000.0,33900.0,32700.0
Springdale,AR,72764-7128,36.1676,-94.1318,,,,,,,,,,364.0,0.7033,0.0549,0.2088,0.0192,0.3736,,17711.0,,,1692.0,,,0.4813,,Certificate,Certificate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,,,,,0.94999998807907,0.37999999523162,17378.17,16900.0,11500.0,,
Florence,KY,41042,38.9611,-84.6295,,,,,,,,,,3810.0,0.8223,0.1097,0.0302,0.0063,0.6171,11335.0,,3536.0,12176.0,6168.0,4827.0,0.9706,0.5069,,Certificate,Associate,Public,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Associate's--Public Suburban-serving Multicampus,Higher part-time two-year,"Medium 2-year (2000 to 4,999)",,0.70999997854232,0.58999997377395,36669.06,27300.0,25800.0,27500.0,26300.0
Saginaw,MI,48609,43.4162,-84.0559,,,,,,,,,,77.0,0.4805,0.3896,0.0519,0.039,0.3636,,5150.0,,,1841.0,,,0.7368,,Certificate,Certificate,Private for-profit,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,0.97000002861022,0.54000002145767,15184.27,16400.0,13400.0,,
Pittsburgh,PA,15260,40.4445,-79.9547,0.5613,615.0,640.0,610.0,28.0,30.0,30.0,9.0,1258.0,18304.0,0.7683,0.0546,0.0259,0.0752,0.0475,30410.0,,17100.0,27106.0,16506.0,9533.0,0.7478,0.1706,0.8044,Bachelors,Graduate,Public,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,Research Universities (very high research activity),"Full-time four-year, more selective, higher transfer-in","Large 4-year, primarily residential (over 9,999)",,0.54000002145767,0.10999999940395,79347.41,42400.0,38400.0,55200.0,48200.0
Glendale Heights,IL,60139,41.9045,-88.0657,,,,,,,,,,133.0,0.5414,0.0902,0.2707,0.0226,0.3759,,16987.0,,,2553.0,,,0.4716,,Certificate,Certificate,Private for-profit,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,,,,,,,
Philadelphia,PA,19103,39.9485,-75.1701,0.0484,,,,,,,,,122.0,0.3852,0.0246,0.0164,0.2049,0.0,16803.0,,2425.0,2425.0,47103.0,10170.0,0.0185,0.16,1.0,Bachelors,Graduate,Private nonprofit,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,"Special Focus Institutions--Schools of art, music, and design",,,,0.43999999761581,0.0,84591.76,,,,
Dayton,OH,45429,39.6828,-84.1691,,,,,,,,,,505.0,0.695,0.2594,0.0198,0.0099,0.0,26741.0,,15400.0,15400.0,3779.0,,,0.4306,,Certificate,Certificate,Private for-profit,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,,,,,,,
North Hollywood,CA,91606-3134,34.1865,-118.4038,1.0,,,,,,,,,925.0,0.1503,0.0389,0.4843,0.1243,0.0,,24050.0,,,5620.0,3639.0,0.7286,0.4173,,Certificate,Associate,Private for-profit,"Far West (AK, CA, HI, NV, OR, WA)",COED,Associate's--Private For-profit,Higher full-time two-year,"Small 2-year (500 to 1,999)",,0.72000002861022,0.51999998092651,33126.29,36200.0,31700.0,43900.0,39600.0
Willow Street,PA,17584,39.9846,-76.2662,,,,,,,,,,407.0,0.6216,0.145,0.1499,0.0319,0.4472,,11499.0,,,7708.0,7874.0,,0.5849,,Certificate,Associate,Public,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,,,,,0.86000001430511,0.6700000166893,43594.2,34000.0,34200.0,34700.0,34200.0
Schenectady,NY,12305,42.8158,-73.9493,,,,,,,,,,3874.0,0.643,0.1652,0.0705,0.0354,0.3105,9626.0,,3745.0,7129.0,5008.0,5305.0,1.0,0.3442,,Associate,Associate,Public,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,Associate's--Public Urban-serving Single Campus,Mixed part/full-time two-year,"Medium 2-year (2000 to 4,999)",,0.56999999284744,0.34000000357627,40389.74,27000.0,24600.0,32800.0,29700.0
Saint Martin,OH,45118-9705,39.2104,-83.8872,,,,,,,,,,325.0,0.3077,0.6585,0.0,0.0,0.4523,16142.0,,9070.0,9070.0,2918.0,3681.0,0.5,0.6979,,Associate,Associate,Private nonprofit,"Great Lakes (IL, IN, MI, OH, WI)",COED,Associate's--Private Not-for-profit,Medium full-time two-year,Very small 2-year (less than 500),Roman Catholic,0.81000000238418,0.54000002145767,28126.65,20100.0,18100.0,22100.0,20900.0
Dultuh,MN,55807,46.7429,-92.1574,,,,,,,,,,201.0,0.9005,0.0249,0.0,0.0,0.4478,29911.0,,15785.0,15785.0,9029.0,3603.0,0.8824,0.6964,0.2468,Associate,Bachelors,Private for-profit,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,Associate's--Private For-profit,Medium full-time two-year,Very small 2-year (less than 500),,0.82999998331069,0.55000001192092,27544.4,20600.0,19500.0,27000.0,25500.0
Detroit,MI,48221-3038,42.4172,-83.1384,0.6147,545.0,570.0,545.0,25.0,25.0,24.0,,1142.0,2871.0,0.5291,0.1007,0.0286,0.032,0.2351,48027.0,,35920.0,35920.0,14080.0,8667.0,1.0,0.2873,0.5682,Bachelors,Graduate,Private nonprofit,"Great Lakes (IL, IN, MI, OH, WI)",COED,Master's Colleges and Universities (larger programs),"Medium full-time four-year, selective, lower transfer-in","Medium 4-year, primarily nonresidential (3,000 to 9,999)",Roman Catholic,0.6700000166893,0.37000000476837,58134.97,43200.0,40500.0,45800.0,42200.0
Wytheville,VA,24382-3308,36.9577,-81.0706,,,,,,,,,,2076.0,0.8608,0.0954,0.0217,0.0039,0.4658,6798.0,,3990.0,9828.0,5018.0,6123.0,0.2892,0.3844,,Certificate,Associate,Public,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Associate's--Public Rural-serving Medium,Higher part-time two-year,"Medium 2-year (2000 to 4,999)",,0.75,0.47999998927116,24272.07,24200.0,21000.0,29100.0,26700.0
Hato Rey,PR,910,18.4176,-66.043,,,,,,,,,,2470.0,0.0,0.0,1.0,0.0,0.304,9819.0,,5475.0,5475.0,436.0,2197.0,1.0,0.9396,0.7022,Associate,Bachelors,Private nonprofit,"Outlying Areas (AS, FM,GU, MH, MP, PR, PW, VI)",COED,Baccalaureate/Associate's Colleges,"Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)","Very small 4-year, primarily nonresidential (less than 1,000,)",,0.56999999284744,0.52999997138977,9106.44,17900.0,14600.0,18500.0,16200.0
Danbury,CT,6810,41.3876,-73.4421,,,,,,,,,,127.0,0.6772,0.0394,0.1496,0.0079,0.2992,,19506.0,,,4059.0,,,0.3091,,Certificate,Certificate,Private for-profit,"New England (CT, ME, MA, NH, RI, VT)",COED,,,,,0.94999998807907,0.38999998569488,51076.26,27500.0,24000.0,23300.0,19800.0
Bayamon,PR,961,18.4071,-66.1653,,,,,,,,,,180.0,0.0,0.0,1.0,0.0,0.0,,9009.0,,,2902.0,,,1.0,,Certificate,Certificate,Private for-profit,"Outlying Areas (AS, FM,GU, MH, MP, PR, PW, VI)",COED,,,,,0.62000000476837,0.43000000715255,7576.2,16300.0,13200.0,,
Normal,IL,61790-1000,40.5097,-88.9923,0.6892,,,,24.0,24.0,24.0,,1110.0,17667.0,0.7969,0.0714,0.0771,0.02,0.0586,25416.0,,13010.0,20450.0,9950.0,7665.0,0.7261,0.2557,0.7162,Bachelors,Graduate,Public,"Great Lakes (IL, IN, MI, OH, WI)",COED,Doctoral/Research Universities,"Full-time four-year, more selective, higher transfer-in","Large 4-year, primarily residential (over 9,999)",,0.58999997377395,0.07999999821186,86459.94,37000.0,35500.0,49200.0,45100.0
Newport,RI,02840-4192,41.4714,-71.3011,0.6706,550.0,555.0,553.0,25.0,25.0,24.0,,1109.0,1989.0,0.7627,0.0156,0.0588,0.0116,0.0568,48219.0,,34950.0,34950.0,8057.0,7425.0,1.0,0.2333,0.6403,Bachelors,Graduate,Private nonprofit,"New England (CT, ME, MA, NH, RI, VT)",COED,Master's Colleges and Universities (medium programs),"Full-time four-year, selective, lower transfer-in","Small 4-year, highly residential (1,000 to 2,999)",Roman Catholic,0.72000002861022,0.00999999977648,110031.28,41200.0,39400.0,50800.0,48300.0
Eastlake,OH,44094,41.6381,-81.4071,,,,,,,,,,67.0,0.3134,0.6716,0.0149,0.0,0.0,15475.0,,11125.0,11125.0,6065.0,,,0.9444,,Certificate,Certificate,Public,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,0.88999998569488,0.83999997377395,33338.77,35900.0,36400.0,,
Gulfport,MS,39501,30.3836,-89.0771,,,,,,,,,,97.0,0.6289,0.2062,0.0206,0.1443,0.0,,16844.0,,,1332.0,,,0.4831,,Certificate,Certificate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,,,,,0.87000000476837,0.49000000953674,13918.99,16700.0,15400.0,18300.0,16100.0
Pewaukee,WI,53072-4601,43.0701,-88.2588,,,,,,,,,,5718.0,0.7795,0.0894,0.0719,0.021,0.6668,12781.0,,3885.0,5718.0,12610.0,9276.0,0.2249,0.213,,Certificate,Associate,Public,"Great Lakes (IL, IN, MI, OH, WI)",COED,Associate's--Public Suburban-serving Multicampus,Higher part-time two-year,"Medium 2-year (2000 to 4,999)",,0.58999997377395,0.44999998807907,51479.31,30900.0,28500.0,39600.0,38100.0
North Providence,RI,2904,41.8561,-71.4594,,,,,,,,,,122.0,0.8443,0.0574,0.0738,0.0246,0.0,23520.0,,15870.0,15870.0,13092.0,,,0.5217,,Certificate,Certificate,Private nonprofit,"New England (CT, ME, MA, NH, RI, VT)",COED,,,,Roman Catholic,0.77999997138977,0.72000002861022,66402.82,57200.0,58600.0,,
Chicago,IL,60602-4405,41.8753,-87.6264,,,,,,,,,,209.0,0.2536,0.6029,0.0957,0.0191,0.5024,23685.0,,12820.0,12820.0,3479.0,3918.0,0.1212,0.6443,,Associate,Associate,Private nonprofit,"Great Lakes (IL, IN, MI, OH, WI)",COED,Associate's--Private Not-for-profit,Mixed part/full-time two-year,Very small 2-year (less than 500),,0.75,0.57999998331069,24500.36,26500.0,24600.0,29700.0,28400.0
Los Angeles,CA,90010-3911,,,,,,,,,,,,211.0,0.019,0.2796,0.0569,0.0948,0.0,,20925.0,,,331.0,1981.0,,0.1275,,Certificate,Associate,Private for-profit,"Far West (AK, CA, HI, NV, OR, WA)",COED,,,,,,,,,,,
Springfield,MA,01119-2684,42.1158,-72.5188,0.8151,520.0,550.0,,24.0,,,,1077.0,2648.0,0.7749,0.0476,0.0759,0.0279,0.0566,45850.0,,33020.0,33020.0,9876.0,9269.0,0.6088,0.2502,0.5961,Bachelors,Graduate,Private nonprofit,"New England (CT, ME, MA, NH, RI, VT)",COED,Master's Colleges and Universities (medium programs),"Full-time four-year, selective, lower transfer-in","Medium 4-year, highly residential (3,000 to 9,999)",,0.40000000596046,0.05999999865889,94324.16,42400.0,39200.0,61000.0,55100.0
Farmington,MO,63640,37.7879,-90.4342,,,,,,,,,,127.0,0.9449,0.0551,0.0,0.0,0.0,,13178.0,,,2460.0,,,0.5466,,Certificate,Certificate,Private for-profit,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,,,,,0.98000001907348,0.46000000834465,15856.88,15500.0,13800.0,,
Lawrence,KS,66046,38.9399,-95.2621,,,,,,,,,,59.0,1.0,0.0,0.0,0.0,0.0,,13167.0,,,10203.0,,,0.325,,Certificate,Certificate,Private for-profit,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,,,,,,,,,,,
Southgate,MI,48195,42.2132,-83.21600000000001,,,,,,,,,,145.0,0.6345,0.2,0.1034,0.0069,0.0,28379.0,,17568.0,17568.0,3132.0,,,0.6909,,Certificate,Certificate,Private for-profit,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,0.93999999761581,0.70999997854232,24357.32,19700.0,18100.0,24700.0,22800.0
Altoona,PA,16602-2419,40.513000000000005,-78.3972,,,,,,,,,,29.0,1.0,0.0,0.0,0.0,0.1034,,10979.0,,,4821.0,,,0.5345,,Certificate,Certificate,Private for-profit,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,,,,,1.0,0.33000001311302,35028.81,,,,
New Orleans,LA,70126,30.0275,-90.0116,,,,,,,,,,48.0,0.0,1.0,0.0,0.0,0.2083,,,,,3083.0,,,0.878,,Certificate,Certificate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,,,,,,,,,,,
Bloomington,MN,55425-5550,44.8614,-93.2287,,,,,,,,,,509.0,0.4774,0.3183,0.0452,0.0609,0.8271,,,12891.0,12891.0,2570.0,5879.0,0.2105,0.7491,0.3333,Associate,Bachelors,Private for-profit,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,Baccalaureate Colleges--Diverse Fields,Higher part-time four-year,"Very small 4-year, primarily nonresidential (less than 1,000,)",,0.75999999046325,0.73000001907348,38521.77,32600.0,28200.0,43000.0,37800.0
Brooklyn Center,MN,55430,45.0627,-93.3118,,,,,,,,,,162.0,0.284,0.2963,0.037000000000000005,0.1543,0.4012,25434.0,,14040.0,14040.0,4806.0,3890.0,0.4375,0.7538,0.3636,Associate,Bachelors,Private for-profit,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,Baccalaureate/Associate's Colleges,Higher part-time four-year,"Very small 4-year, primarily nonresidential (less than 1,000,)",,0.69999998807907,0.50999999046325,45725.56,29100.0,27600.0,37700.0,35700.0
Vernon Hills,IL,60061-1519,,,,,,,,,,,,68.0,0.5441,0.2206,0.1912,0.0,0.0,,17692.0,,,15449.0,,,0.7,,,Non-degree,Private for-profit,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,,,,,,,
Conway,SC,29526-9508,33.7844,-78.9911,,,,,,,,,,752.0,0.3883,0.5625,0.0253,0.0027,0.3418,24482.0,,10422.0,10422.0,2371.0,3875.0,0.1818,0.9194,,Certificate,Associate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,,,,,,,,22800.0,21700.0,21200.0,21000.0
New Haven,CT,6520,41.3102,-72.9289,0.0705,750.0,750.0,755.0,34.0,,,,1497.0,5422.0,0.4734,0.0673,0.1013,0.1645,0.0011,59320.0,,44000.0,44000.0,106214.0,16042.0,0.7281,0.1273,0.9779,Bachelors,Graduate,Private nonprofit,"New England (CT, ME, MA, NH, RI, VT)",COED,Research Universities (very high research activity),"Full-time four-year, more selective, lower transfer-in","Large 4-year, highly residential (over 9,999)",,0.51999998092651,0.34999999403953,73769.14,76400.0,60200.0,95300.0,66000.0
Jersey City,NJ,7306,40.7297,-74.0695,,,,,,,,,,45.0,0.0889,0.5333,0.3778,0.0,0.4889,22147.0,,10722.0,10722.0,6140.0,,,0.9737,,Certificate,Certificate,Private nonprofit,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,,,,,,,,,,,
Athens,GA,30602,33.9435,-83.3738,0.5608,610.0,625.0,620.0,28.0,29.0,27.0,8.0,1247.0,26120.0,0.7297,0.07400000000000001,0.052000000000000005,0.0895,0.0561,21162.0,,10262.0,28472.0,8478.0,9015.0,0.8804,0.23600000000000002,0.8314,Bachelors,Graduate,Public,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Research Universities (very high research activity),"Full-time four-year, more selective, higher transfer-in","Large 4-year, primarily residential (over 9,999)",,0.58999997377395,0.12999999523162,84425.2,41000.0,36900.0,54000.0,46500.0
