checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
b'>=200',6.0,b'critical/other existing credit',b'education',1047.0,b'<100',b'1<=X<4',2.0,b'female div/dep/mar',b'none',4.0,b'life insurance',50.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'no checking',18.0,b'existing paid',b'radio/tv',433.0,b'<100',b'unemployed',3.0,b'female div/dep/mar',b'co applicant',4.0,b'real estate',22.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'0<=X<200',36.0,b'existing paid',b'education',3711.0,b'no known savings',b'1<=X<4',2.0,b'male mar/wid',b'none',2.0,b'car',27.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',9.0,b'existing paid',b'radio/tv',1206.0,b'<100',b'>=7',4.0,b'female div/dep/mar',b'none',4.0,b'real estate',25.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',6.0,b'existing paid',b'furniture/equipment',1543.0,b'>=1000',b'1<=X<4',4.0,b'male div/sep',b'none',2.0,b'real estate',33.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',4.0,b'critical/other existing credit',b'new car',3380.0,b'<100',b'4<=X<7',1.0,b'female div/dep/mar',b'none',1.0,b'real estate',37.0,b'none',b'own',1.0,b'skilled',2.0,b'none',b'yes',b'good'
b'>=200',24.0,b'existing paid',b'radio/tv',1258.0,b'500<=X<1000',b'1<=X<4',3.0,b'female div/dep/mar',b'none',3.0,b'car',57.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'no checking',12.0,b'existing paid',b'radio/tv',2073.0,b'100<=X<500',b'1<=X<4',4.0,b'female div/dep/mar',b'co applicant',2.0,b'real estate',28.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'<0',21.0,b'existing paid',b'radio/tv',2606.0,b'<100',b'<1',4.0,b'female div/dep/mar',b'none',4.0,b'life insurance',28.0,b'none',b'rent',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'no checking',12.0,b'critical/other existing credit',b'education',2096.0,b'<100',b'4<=X<7',2.0,b'male single',b'none',3.0,b'real estate',49.0,b'none',b'own',1.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
b'no checking',12.0,b'critical/other existing credit',b'new car',1255.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'real estate',61.0,b'none',b'own',2.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'no checking',9.0,b'existing paid',b'domestic appliance',1236.0,b'<100',b'<1',1.0,b'female div/dep/mar',b'none',4.0,b'real estate',23.0,b'none',b'rent',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'no checking',24.0,b'existing paid',b'radio/tv',1278.0,b'<100',b'>=7',4.0,b'male single',b'none',1.0,b'real estate',36.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'<0',6.0,b'existing paid',b'new car',1374.0,b'no known savings',b'unemployed',4.0,b'female div/dep/mar',b'none',3.0,b'life insurance',75.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'>=200',10.0,b'existing paid',b'new car',3949.0,b'<100',b'<1',1.0,b'male single',b'guarantor',1.0,b'life insurance',37.0,b'none',b'own',1.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
b'no checking',12.0,b'existing paid',b'new car',2390.0,b'no known savings',b'>=7',4.0,b'male single',b'none',3.0,b'car',50.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'0<=X<200',24.0,b'existing paid',b'new car',1201.0,b'<100',b'<1',4.0,b'male single',b'none',1.0,b'life insurance',26.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',15.0,b'critical/other existing credit',b'furniture/equipment',2788.0,b'<100',b'4<=X<7',2.0,b'female div/dep/mar',b'co applicant',3.0,b'car',24.0,b'bank',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',12.0,b'critical/other existing credit',b'business',1264.0,b'no known savings',b'>=7',4.0,b'male single',b'none',4.0,b'no known property',57.0,b'none',b'rent',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'<0',24.0,b'existing paid',b'furniture/equipment',4020.0,b'<100',b'1<=X<4',2.0,b'male single',b'none',2.0,b'car',27.0,b'stores',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',9.0,b'existing paid',b'new car',2507.0,b'500<=X<1000',b'>=7',2.0,b'male single',b'none',4.0,b'no known property',51.0,b'none',b'for free',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'no checking',24.0,b'existing paid',b'radio/tv',2397.0,b'500<=X<1000',b'>=7',3.0,b'male single',b'none',2.0,b'car',35.0,b'bank',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'bad'
b'0<=X<200',27.0,b'existing paid',b'business',3915.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',2.0,b'car',36.0,b'none',b'own',1.0,b'skilled',2.0,b'yes',b'yes',b'bad'
b'no checking',48.0,b'critical/other existing credit',b'used car',11590.0,b'100<=X<500',b'1<=X<4',2.0,b'female div/dep/mar',b'none',4.0,b'car',24.0,b'bank',b'rent',2.0,b'unskilled resident',1.0,b'none',b'yes',b'bad'
b'<0',42.0,b'existing paid',b'furniture/equipment',7882.0,b'<100',b'4<=X<7',2.0,b'male single',b'guarantor',4.0,b'life insurance',45.0,b'none',b'for free',1.0,b'skilled',2.0,b'none',b'yes',b'good'
b'no checking',12.0,b'critical/other existing credit',b'new car',1495.0,b'<100',b'>=7',4.0,b'male single',b'none',1.0,b'real estate',38.0,b'none',b'own',2.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
b'no checking',24.0,b'existing paid',b'new car',2255.0,b'no known savings',b'<1',4.0,b'male single',b'none',1.0,b'life insurance',54.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',9.0,b'existing paid',b'new car',1549.0,b'no known savings',b'<1',4.0,b'male single',b'none',2.0,b'real estate',35.0,b'none',b'own',1.0,b'unemp/unskilled non res',1.0,b'none',b'yes',b'good'
b'no checking',30.0,b'existing paid',b'used car',4811.0,b'no known savings',b'4<=X<7',2.0,b'female div/dep/mar',b'none',4.0,b'life insurance',24.0,b'stores',b'rent',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'0<=X<200',14.0,b'existing paid',b'business',1410.0,b'500<=X<1000',b'>=7',1.0,b'male mar/wid',b'none',2.0,b'real estate',35.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'no checking',5.0,b'existing paid',b'business',3448.0,b'<100',b'4<=X<7',1.0,b'male single',b'none',4.0,b'real estate',74.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'0<=X<200',11.0,b'delayed previously',b'radio/tv',4771.0,b'<100',b'4<=X<7',2.0,b'male single',b'none',4.0,b'life insurance',51.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'<0',10.0,b'existing paid',b'radio/tv',2315.0,b'<100',b'>=7',3.0,b'male single',b'none',4.0,b'real estate',52.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'<0',48.0,b'existing paid',b'used car',4788.0,b'<100',b'4<=X<7',4.0,b'male single',b'none',3.0,b'life insurance',26.0,b'none',b'own',1.0,b'skilled',2.0,b'none',b'yes',b'good'
b'no checking',18.0,b'existing paid',b'business',1568.0,b'100<=X<500',b'1<=X<4',3.0,b'female div/dep/mar',b'none',4.0,b'life insurance',24.0,b'none',b'rent',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'no checking',15.0,b'all paid',b'radio/tv',1569.0,b'100<=X<500',b'>=7',4.0,b'male single',b'none',4.0,b'car',34.0,b'bank',b'own',1.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
b'<0',40.0,b'critical/other existing credit',b'education',5998.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',3.0,b'no known property',27.0,b'bank',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'bad'
b'no checking',18.0,b'critical/other existing credit',b'radio/tv',1169.0,b'no known savings',b'1<=X<4',4.0,b'male single',b'none',3.0,b'life insurance',29.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'0<=X<200',12.0,b'existing paid',b'new car',1223.0,b'<100',b'>=7',1.0,b'male div/sep',b'none',1.0,b'real estate',46.0,b'none',b'rent',2.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'<0',18.0,b'existing paid',b'furniture/equipment',2659.0,b'>=1000',b'1<=X<4',4.0,b'male single',b'none',2.0,b'car',28.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',6.0,b'critical/other existing credit',b'radio/tv',700.0,b'no known savings',b'>=7',4.0,b'male single',b'none',4.0,b'no known property',36.0,b'none',b'for free',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',10.0,b'existing paid',b'used car',2848.0,b'100<=X<500',b'1<=X<4',1.0,b'male single',b'co applicant',2.0,b'real estate',32.0,b'none',b'own',1.0,b'skilled',2.0,b'none',b'yes',b'good'
b'<0',9.0,b'existing paid',b'radio/tv',1366.0,b'<100',b'<1',3.0,b'female div/dep/mar',b'none',4.0,b'life insurance',22.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'no checking',36.0,b'existing paid',b'education',9055.0,b'no known savings',b'1<=X<4',2.0,b'male single',b'none',4.0,b'no known property',35.0,b'none',b'for free',1.0,b'unskilled resident',2.0,b'yes',b'yes',b'good'
b'<0',24.0,b'existing paid',b'radio/tv',1987.0,b'<100',b'1<=X<4',2.0,b'male single',b'none',4.0,b'real estate',21.0,b'none',b'rent',1.0,b'unskilled resident',2.0,b'none',b'yes',b'bad'
b'<0',24.0,b'existing paid',b'used car',2924.0,b'<100',b'1<=X<4',3.0,b'male single',b'guarantor',4.0,b'no known property',63.0,b'bank',b'own',1.0,b'skilled',2.0,b'yes',b'yes',b'good'
b'0<=X<200',18.0,b'existing paid',b'business',2622.0,b'100<=X<500',b'1<=X<4',4.0,b'male single',b'none',4.0,b'car',34.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',36.0,b'critical/other existing credit',b'business',6304.0,b'no known savings',b'>=7',4.0,b'male single',b'none',4.0,b'real estate',36.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',36.0,b'delayed previously',b'radio/tv',4463.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',2.0,b'car',26.0,b'none',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
b'no checking',36.0,b'existing paid',b'business',7409.0,b'no known savings',b'>=7',3.0,b'male single',b'none',2.0,b'life insurance',37.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',24.0,b'delayed previously',b'new car',717.0,b'no known savings',b'>=7',4.0,b'male mar/wid',b'none',4.0,b'car',54.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'<0',20.0,b'existing paid',b'furniture/equipment',2212.0,b'no known savings',b'4<=X<7',4.0,b'male single',b'none',4.0,b'car',39.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'<0',18.0,b'all paid',b'furniture/equipment',1553.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',3.0,b'car',44.0,b'bank',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'0<=X<200',18.0,b'existing paid',b'used car',12976.0,b'<100',b'unemployed',3.0,b'female div/dep/mar',b'none',4.0,b'no known property',38.0,b'none',b'for free',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
b'no checking',12.0,b'critical/other existing credit',b'radio/tv',1934.0,b'<100',b'>=7',2.0,b'male single',b'none',2.0,b'no known property',26.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'<0',33.0,b'critical/other existing credit',b'furniture/equipment',4281.0,b'500<=X<1000',b'1<=X<4',1.0,b'female div/dep/mar',b'none',4.0,b'car',23.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'<0',16.0,b'critical/other existing credit',b'new car',2625.0,b'<100',b'>=7',2.0,b'male single',b'guarantor',4.0,b'life insurance',43.0,b'bank',b'rent',1.0,b'skilled',1.0,b'yes',b'yes',b'bad'
b'<0',6.0,b'critical/other existing credit',b'new car',666.0,b'>=1000',b'4<=X<7',3.0,b'female div/dep/mar',b'none',4.0,b'real estate',39.0,b'none',b'own',2.0,b'unskilled resident',1.0,b'yes',b'yes',b'good'
b'no checking',24.0,b'existing paid',b'used car',3488.0,b'100<=X<500',b'4<=X<7',3.0,b'female div/dep/mar',b'none',4.0,b'car',23.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',30.0,b'critical/other existing credit',b'new car',5234.0,b'<100',b'unemployed',4.0,b'male mar/wid',b'none',2.0,b'car',28.0,b'none',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'none',b'yes',b'bad'
b'no checking',6.0,b'critical/other existing credit',b'radio/tv',1382.0,b'<100',b'1<=X<4',1.0,b'female div/dep/mar',b'none',1.0,b'car',28.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'no checking',36.0,b'existing paid',b'furniture/equipment',3349.0,b'<100',b'1<=X<4',4.0,b'female div/dep/mar',b'none',2.0,b'car',28.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
b'no checking',15.0,b'existing paid',b'radio/tv',1213.0,b'500<=X<1000',b'>=7',4.0,b'male single',b'none',3.0,b'life insurance',47.0,b'stores',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'0<=X<200',12.0,b'existing paid',b'new car',836.0,b'100<=X<500',b'<1',4.0,b'female div/dep/mar',b'none',2.0,b'life insurance',23.0,b'bank',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'bad'
b'<0',12.0,b'existing paid',b'furniture/equipment',1289.0,b'<100',b'1<=X<4',4.0,b'male single',b'guarantor',1.0,b'life insurance',21.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'no checking',12.0,b'critical/other existing credit',b'furniture/equipment',1258.0,b'<100',b'<1',2.0,b'female div/dep/mar',b'none',4.0,b'life insurance',22.0,b'none',b'rent',2.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'<0',30.0,b'existing paid',b'radio/tv',2522.0,b'<100',b'>=7',1.0,b'male single',b'guarantor',3.0,b'life insurance',39.0,b'none',b'own',1.0,b'skilled',2.0,b'none',b'yes',b'good'
b'no checking',12.0,b'existing paid',b'business',1076.0,b'<100',b'1<=X<4',2.0,b'male mar/wid',b'none',2.0,b'real estate',26.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'no',b'good'
b'no checking',36.0,b'existing paid',b'radio/tv',3835.0,b'no known savings',b'>=7',2.0,b'female div/dep/mar',b'none',4.0,b'real estate',45.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'yes',b'yes',b'good'
b'no checking',18.0,b'existing paid',b'radio/tv',1505.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',2.0,b'no known property',32.0,b'none',b'for free',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'<0',30.0,b'existing paid',b'furniture/equipment',2406.0,b'<100',b'4<=X<7',4.0,b'female div/dep/mar',b'none',4.0,b'real estate',23.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'0<=X<200',15.0,b'delayed previously',b'repairs',1512.0,b'>=1000',b'1<=X<4',3.0,b'male mar/wid',b'none',3.0,b'life insurance',61.0,b'stores',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'<0',12.0,b'existing paid',b'furniture/equipment',7865.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'no known property',53.0,b'none',b'for free',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
b'0<=X<200',18.0,b'critical/other existing credit',b'business',3590.0,b'<100',b'unemployed',3.0,b'male mar/wid',b'none',3.0,b'car',40.0,b'none',b'own',3.0,b'unemp/unskilled non res',2.0,b'yes',b'yes',b'good'
b'<0',24.0,b'all paid',b'furniture/equipment',3349.0,b'500<=X<1000',b'<1',4.0,b'male single',b'none',4.0,b'no known property',30.0,b'none',b'for free',1.0,b'skilled',2.0,b'yes',b'yes',b'bad'
b'<0',18.0,b'existing paid',b'used car',7511.0,b'no known savings',b'>=7',1.0,b'male single',b'none',4.0,b'life insurance',51.0,b'none',b'for free',1.0,b'skilled',2.0,b'yes',b'yes',b'bad'
b'<0',36.0,b'existing paid',b'used car',5493.0,b'<100',b'>=7',2.0,b'male single',b'none',4.0,b'no known property',42.0,b'none',b'for free',1.0,b'skilled',2.0,b'none',b'yes',b'good'
b'no checking',18.0,b'existing paid',b'business',1950.0,b'<100',b'4<=X<7',4.0,b'male single',b'none',1.0,b'car',34.0,b'stores',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'>=200',12.0,b'delayed previously',b'new car',2247.0,b'<100',b'1<=X<4',2.0,b'female div/dep/mar',b'none',2.0,b'car',36.0,b'stores',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'no checking',33.0,b'delayed previously',b'business',2764.0,b'<100',b'1<=X<4',2.0,b'female div/dep/mar',b'none',2.0,b'car',26.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'0<=X<200',30.0,b'delayed previously',b'radio/tv',1919.0,b'100<=X<500',b'<1',4.0,b'male single',b'none',3.0,b'no known property',30.0,b'stores',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'none',b'yes',b'bad'
b'no checking',9.0,b'existing paid',b'furniture/equipment',1313.0,b'<100',b'>=7',1.0,b'male single',b'none',4.0,b'car',20.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',36.0,b'existing paid',b'used car',6948.0,b'<100',b'1<=X<4',2.0,b'male single',b'none',2.0,b'car',35.0,b'none',b'rent',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'<0',12.0,b'existing paid',b'furniture/equipment',1282.0,b'<100',b'1<=X<4',2.0,b'female div/dep/mar',b'none',4.0,b'car',20.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'no checking',24.0,b'delayed previously',b'new car',2032.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'no known property',60.0,b'none',b'for free',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'no checking',12.0,b'existing paid',b'new car',1884.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'car',39.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'<0',30.0,b'existing paid',b'furniture/equipment',3622.0,b'>=1000',b'>=7',4.0,b'female div/dep/mar',b'none',4.0,b'life insurance',57.0,b'none',b'rent',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'0<=X<200',12.0,b'critical/other existing credit',b'new car',958.0,b'<100',b'4<=X<7',2.0,b'male single',b'none',3.0,b'real estate',47.0,b'none',b'own',2.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
b'no checking',36.0,b'critical/other existing credit',b'used car',5711.0,b'>=1000',b'>=7',4.0,b'male single',b'none',2.0,b'car',38.0,b'none',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'no checking',24.0,b'existing paid',b'radio/tv',3621.0,b'100<=X<500',b'>=7',2.0,b'male single',b'none',4.0,b'car',31.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'<0',24.0,b'no credits/all paid',b'furniture/equipment',4110.0,b'<100',b'>=7',3.0,b'male single',b'none',4.0,b'no known property',23.0,b'bank',b'rent',2.0,b'skilled',2.0,b'none',b'yes',b'bad'
b'0<=X<200',12.0,b'existing paid',b'radio/tv',2930.0,b'<100',b'4<=X<7',2.0,b'female div/dep/mar',b'none',1.0,b'real estate',27.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'<0',12.0,b'existing paid',b'radio/tv',1498.0,b'<100',b'1<=X<4',4.0,b'female div/dep/mar',b'none',1.0,b'car',23.0,b'bank',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',24.0,b'critical/other existing credit',b'radio/tv',2578.0,b'>=1000',b'>=7',2.0,b'male single',b'none',2.0,b'car',34.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'<0',24.0,b'all paid',b'other',1358.0,b'no known savings',b'>=7',4.0,b'male single',b'none',3.0,b'car',40.0,b'stores',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
b'0<=X<200',36.0,b'existing paid',b'education',2273.0,b'<100',b'4<=X<7',3.0,b'male single',b'none',1.0,b'car',32.0,b'none',b'own',2.0,b'skilled',2.0,b'none',b'yes',b'good'
b'0<=X<200',12.0,b'critical/other existing credit',b'new car',3124.0,b'<100',b'<1',1.0,b'male single',b'none',3.0,b'real estate',49.0,b'bank',b'own',2.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
b'0<=X<200',12.0,b'no credits/all paid',b'furniture/equipment',2969.0,b'<100',b'<1',4.0,b'female div/dep/mar',b'none',3.0,b'life insurance',25.0,b'none',b'rent',2.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'>=200',12.0,b'existing paid',b'furniture/equipment',1424.0,b'no known savings',b'>=7',3.0,b'female div/dep/mar',b'none',4.0,b'real estate',55.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'no checking',24.0,b'existing paid',b'used car',2670.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'car',35.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'no checking',9.0,b'existing paid',b'radio/tv',1478.0,b'<100',b'4<=X<7',4.0,b'male single',b'none',2.0,b'car',22.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'no checking',18.0,b'critical/other existing credit',b'used car',3229.0,b'no known savings',b'unemployed',2.0,b'male single',b'none',4.0,b'no known property',38.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'0<=X<200',48.0,b'all paid',b'business',6416.0,b'<100',b'>=7',4.0,b'female div/dep/mar',b'none',3.0,b'no known property',59.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'<0',27.0,b'no credits/all paid',b'business',5293.0,b'<100',b'unemployed',2.0,b'male single',b'none',4.0,b'life insurance',50.0,b'stores',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'bad'
b'0<=X<200',30.0,b'existing paid',b'furniture/equipment',3832.0,b'<100',b'<1',2.0,b'male mar/wid',b'none',1.0,b'life insurance',22.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'<0',36.0,b'critical/other existing credit',b'furniture/equipment',5371.0,b'<100',b'1<=X<4',3.0,b'male single',b'guarantor',2.0,b'life insurance',28.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'>=200',24.0,b'critical/other existing credit',b'new car',1344.0,b'no known savings',b'4<=X<7',4.0,b'male single',b'none',2.0,b'real estate',37.0,b'bank',b'own',2.0,b'unskilled resident',2.0,b'none',b'yes',b'bad'
