CementComponent,BlastFurnaceSlag,FlyAshComponent,WaterComponent,SuperplasticizerComponent,CoarseAggregateComponent,FineAggregateComponent,AgeInDays,Strength
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14,24.58
397.0,0.0,0.0,192.0,0.0,940.6,704.3,28,41.05
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90,33.72
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,36.8
321.0,0.0,141.0,186.0,14.3,880.0,757.0,28,42.13
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7,15.69
140.0,178.0,175.0,200.0,10.0,809.0,745.0,28,14.2
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,32.82
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,25.37
381.4,0.0,0.0,185.8,0.0,1104.6,784.3,365,41.05
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7,19.54
249.1,0.0,98.8,158.1,12.3,987.8,889.0,14,23.79
153.1,145.0,113.0,178.5,8.0,1001.9,688.2,28,15.82
167.4,42.1,163.4,165.6,7.8,1001.9,688.2,100,52.45
349.0,0.0,0.0,203.0,0.0,974.0,806.0,180,35.31
266.0,116.0,89.0,201.0,9.0,819.0,815.0,28,21.82
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,90,34.56
312.9,0.0,111.9,177.4,7.9,916.6,759.5,28,44.28
222.4,0.0,96.7,189.3,7.8,967.1,870.3,14,18.75
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,100,57.21
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,24.29
500.0,0.0,0.0,200.0,3.0,1124.4,613.2,28,43.7
281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28,17.57
500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28,43.58
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,49.2
333.0,0.0,0.0,193.0,0.0,968.0,812.0,270,40.87
151.6,0.0,111.9,184.4,17.9,992.0,815.9,28,35.96
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28,22.35
405.0,0.0,0.0,175.0,0.0,1125.0,613.0,180,32.85
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,13.46
425.0,158.5,0.0,153.5,16.5,852.1,887.1,28,55.51
265.0,111.0,86.0,195.0,5.9,833.0,790.0,28,55.9
332.5,0.0,0.0,228.0,0.0,932.0,594.0,3,13.18
151.2,174.2,108.3,167.5,16.5,835.6,813.2,28,29.79
302.0,0.0,0.0,203.0,0.0,1111.0,829.0,7,25.1
255.0,0.0,0.0,192.0,0.0,889.8,845.0,3,32.4
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3,23.69
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,50.46
313.0,15.0,145.0,196.0,15.0,967.0,816.0,28,14.4
387.0,20.0,94.0,157.0,11.6,938.0,845.0,3,14.99
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,45.08
339.0,0.0,0.0,189.0,0.0,968.0,781.0,180,34.77
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,26.97
287.0,0.0,97.0,197.0,7.5,879.0,825.5,28,32.72
298.0,0.0,107.0,193.0,6.0,819.0,778.0,28,30.22
397.0,0.0,0.0,185.0,0.0,1040.0,739.0,14,24.05
359.0,19.0,141.0,154.0,10.9,942.0,801.0,360,42.62
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90,33.7
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3,16.11
173.5,50.1,173.5,164.8,6.5,1061.7,793.5,28,37.27
424.0,22.0,132.0,168.0,8.9,822.0,750.0,28,56.83
313.3,145.0,0.0,178.5,8.0,1002.0,688.7,28,29.39
295.0,0.0,0.0,183.0,0.0,1060.0,734.0,7,14.59
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180,26.06
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,100,79.99
297.2,0.0,117.5,174.8,9.5,1043.6,753.5,28,40.66
200.0,133.0,0.0,192.0,0.0,965.4,806.2,28,35.36
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28,30.12
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,3,14.99
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90,32.53
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,47.82
401.8,94.7,0.0,137.8,11.3,852.1,887.1,28,34.77
307.0,0.0,0.0,193.0,0.0,968.0,812.0,3,33.73
331.0,0.0,0.0,192.0,0.0,978.0,825.0,180,35.1
133.0,0.0,0.0,192.0,0.0,927.4,839.2,7,11.98
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,13.33
350.0,0.0,0.0,203.0,0.0,1074.0,775.0,3,20.42
141.3,206.0,0.0,151.4,18.6,936.0,803.7,3,7.4
480.0,0.0,0.0,192.0,0.0,936.2,716.1,28,21.16
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,7,18.42
387.0,20.0,94.0,157.0,14.3,938.0,845.0,3,32.9
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90,35.23
140.0,210.0,0.0,186.0,0.0,974.0,774.0,28,38.07
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28,48.7
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,45.08
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28,59.2
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,68.5
387.0,20.0,94.0,157.0,11.6,938.0,845.0,3,33.05
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28,36.64
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3,13.66
356.9,119.7,0.0,160.2,22.1,923.2,657.9,28,43.57
313.3,262.2,0.0,175.8,8.6,1046.9,611.8,7,55.6
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,23.85
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,17.28
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.16
190.3,0.0,125.2,161.9,9.9,1058.6,758.6,100,32.07
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,9.73
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,55.6
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,67.57
136.0,111.0,91.0,201.0,7.0,852.0,799.0,28,39.15
339.0,0.0,0.0,197.0,0.0,968.0,781.0,14,24.99
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180,51.43
350.0,0.0,0.0,203.0,0.0,974.0,775.0,3,4.83
194.7,0.0,100.5,170.2,7.5,1006.4,905.9,14,18.42
425.0,166.8,0.0,153.5,16.1,852.1,840.5,3,35.3
273.0,116.0,86.0,194.0,6.0,914.0,680.0,28,50.24
322.0,0.0,0.0,185.0,0.0,974.0,800.0,3,33.8
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,17.22
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,28,74.7
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,41.94
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180,44.4
491.0,26.0,78.0,162.0,12.0,967.0,699.0,3,13.22
322.0,0.0,0.0,203.0,0.0,974.0,800.0,7,19.77
102.0,153.0,0.0,192.0,0.0,887.0,942.0,180,32.63
157.0,0.0,0.0,192.0,0.0,935.4,781.2,28,31.97
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,28,32.85
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,100,56.14
284.0,15.0,141.0,179.0,5.5,842.0,801.0,28,69.66
160.0,144.0,113.0,178.0,7.0,967.0,871.0,28,32.04
183.9,122.6,0.0,203.5,0.0,959.2,800.0,7,7.51
326.0,0.0,0.0,178.0,8.6,879.0,821.0,28,40.86
122.6,163.0,0.0,182.0,4.0,949.0,847.0,28,29.87
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14,25.73
424.0,212.0,132.0,168.0,8.9,842.0,750.0,7,55.26
250.0,0.0,0.0,189.0,0.0,1125.0,613.0,28,17.17
185.7,158.8,0.0,185.7,0.0,1069.2,704.3,28,24.28
192.0,288.0,0.0,192.0,0.0,929.8,716.1,90,26.74
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,25.2
500.0,0.0,0.0,203.0,0.0,1125.0,613.0,14,42.64
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7,26.05
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7,15.58
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,12.18
213.8,98.1,24.5,181.7,6.7,1066.0,792.7,91,44.52
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3,12.05
425.0,106.3,0.0,153.9,16.5,936.2,887.1,7,41.24
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,100,50.46
322.0,0.0,0.0,192.0,0.0,1000.0,821.0,90,74.17
375.0,95.0,0.0,126.6,23.4,852.1,887.1,56,61.86
262.0,111.0,86.0,195.0,5.0,895.0,733.0,28,55.64
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14,24.39
393.0,0.0,0.0,192.0,0.0,940.0,758.0,7,20.28
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7,11.17
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,46.23
159.0,0.0,116.0,175.0,15.0,953.0,720.0,28,26.94
331.0,0.0,0.0,180.0,0.0,1025.0,821.0,28,31.54
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.99
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,52.43
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90,32.25
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,31.25
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,66.95
310.0,0.0,0.0,192.0,0.0,970.0,850.0,3,20.08
212.6,0.0,121.6,169.6,7.6,1055.6,777.8,3,15.58
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3,24.5
491.0,26.2,0.0,137.8,4.1,852.1,893.7,56,61.8
153.0,102.0,0.0,192.0,0.0,1125.0,613.0,28,24.48
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,43.25
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,28,43.57
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,21.78
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,26.4
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,25.02
307.0,0.0,0.0,193.0,0.0,968.0,812.0,7,14.2
331.0,0.0,0.0,192.0,0.0,978.0,825.0,180,43.38
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28,19.54
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,33.76
289.0,134.7,0.0,185.7,0.0,1075.0,795.3,28,36.96
155.1,183.4,0.0,193.8,9.1,879.6,698.5,28,17.95
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270,50.77
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,14.54
313.3,145.0,113.0,178.5,8.0,867.2,824.0,28,36.35
181.9,0.0,0.0,185.7,0.0,1012.4,828.5,28,32.01
387.0,20.0,94.0,157.0,13.9,938.0,845.0,56,59.0
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,3,7.4
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14,15.52
374.0,0.0,0.0,170.2,5.3,927.4,739.3,28,61.07
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,43.8
250.0,0.0,0.0,189.0,0.0,966.0,763.0,270,40.27
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,16.89
149.0,117.0,92.0,176.0,7.0,953.0,780.0,28,31.97
310.0,0.0,0.0,192.0,0.0,879.0,815.0,7,14.6
135.0,0.0,120.0,180.0,7.0,961.0,785.0,28,33.27
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,23.52
350.0,0.0,0.0,203.0,0.0,974.0,775.0,7,12.55
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,31.65
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,74.36
236.0,0.0,0.0,194.0,0.0,968.0,885.0,7,17.24
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,24.1
203.5,305.3,0.0,203.5,0.0,963.4,630.0,28,38.46
194.7,0.0,100.5,165.6,6.5,1006.4,905.9,14,10.09
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,36.94
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,46.39
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,67.8
154.8,183.4,0.0,193.3,9.2,1047.4,696.7,28,52.82
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28,67.31
173.0,116.0,0.0,192.0,0.0,946.8,856.8,90,45.37
145.0,0.0,179.0,202.0,7.0,824.0,869.0,28,29.23
236.0,157.0,0.0,192.0,0.0,935.4,784.3,3,10.79
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100,37.91
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90,55.25
165.0,128.9,124.1,178.5,8.9,1002.5,796.2,28,43.39
322.2,0.0,0.0,185.7,0.0,1012.4,714.3,28,18.02
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,33.08
297.0,0.0,0.0,185.0,0.0,1040.0,734.0,28,24.85
173.8,93.8,173.8,166.6,11.7,1049.3,692.6,56,55.64
350.0,0.0,0.0,182.0,0.0,1100.0,820.0,7,15.42
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,55.2
540.0,0.0,0.0,162.0,10.9,1125.0,613.0,28,29.98
285.0,0.0,94.0,221.0,7.0,938.0,845.0,28,15.44
212.1,141.3,121.6,180.3,5.7,1057.6,779.3,28,26.14
289.0,0.0,0.0,185.0,0.0,924.0,760.0,28,65.2
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,27.04
192.0,288.0,0.0,192.0,0.0,929.8,716.1,90,53.77
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,56.34
153.0,145.0,112.0,178.0,10.0,1001.0,666.0,28,37.27
167.4,129.9,128.6,171.5,9.6,1006.3,746.6,3,18.42
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,3,15.53
331.0,0.0,0.0,192.0,0.0,978.0,825.0,360,63.4
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90,70.7
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,13.71
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56,69.3
173.0,116.0,0.0,192.0,0.0,946.8,856.8,90,40.23
144.0,105.0,113.0,178.0,8.0,892.0,824.0,28,41.1
198.6,132.4,0.0,192.0,0.0,978.4,754.3,28,38.77
167.0,75.4,167.0,164.0,7.8,1006.3,770.1,3,4.78
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28,41.54
389.9,189.0,0.0,145.9,22.0,944.7,744.3,56,34.67
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3,12.37
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,14.14
277.0,0.0,0.0,191.0,0.0,968.0,856.0,28,73.7
284.0,15.0,0.0,179.0,5.5,882.0,790.0,28,56.85
313.3,0.0,113.0,178.5,8.0,1001.8,688.7,28,32.84
289.0,0.0,0.0,192.0,0.0,913.2,895.3,7,13.29
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28,39.64
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,90,48.99
236.0,0.0,0.0,193.0,0.0,968.0,885.0,90,75.5
153.0,145.0,113.0,176.0,8.0,1047.0,696.0,28,29.59
296.0,0.0,0.0,192.0,0.0,978.0,825.0,3,15.42
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,33.4
275.0,0.0,0.0,183.0,0.0,1075.0,808.0,28,33.06
265.0,111.0,86.0,195.0,7.0,833.0,790.0,28,74.99
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,21.54
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,44.14
359.4,359.4,0.0,192.0,0.0,939.2,801.2,3,20.42
200.0,133.0,0.0,192.0,0.0,965.4,806.2,90,33.69
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7,24.24
149.0,153.0,194.0,176.0,7.0,953.0,780.0,28,13.09
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,28,29.59
154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28,13.57
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,360,47.71
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,40.56
250.0,0.0,0.0,203.5,0.0,963.4,630.0,28,24.4
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,21.86
500.0,0.0,0.0,200.0,15.0,1125.0,613.0,3,15.57
157.0,116.0,0.0,192.0,0.0,935.4,781.2,28,39.94
500.0,0.0,0.0,182.0,12.0,1125.0,613.0,28,31.02
393.0,0.0,0.0,192.0,0.0,940.0,758.0,7,24.07
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,180,27.63
393.0,0.0,0.0,192.0,0.0,940.0,758.0,7,23.74
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3,23.84
157.0,236.0,0.0,174.8,6.9,944.7,753.5,56,66.0
183.9,122.6,0.0,185.7,0.0,959.2,613.2,28,20.59
250.0,0.0,0.0,191.0,0.0,1047.0,806.0,28,31.81
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,25.37
266.0,112.0,86.0,195.0,3.0,949.0,795.0,28,41.05
310.0,117.2,98.8,158.5,14.3,1014.3,830.4,28,56.61
157.0,236.0,0.0,228.0,0.0,932.0,670.0,365,67.57
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100,37.91
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,29.87
236.0,0.0,0.0,194.0,0.0,968.0,885.0,180,25.18
446.0,24.0,79.0,197.0,11.6,967.0,712.0,7,41.84
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,17.82
309.9,209.4,0.0,192.0,0.0,935.4,781.2,7,44.28
153.0,145.0,113.0,168.0,9.0,1002.0,665.0,28,55.55
393.0,0.0,0.0,192.0,0.0,940.0,785.0,3,24.66
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,33.61
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28,27.42
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,13.29
213.8,0.0,24.5,181.7,6.7,1066.0,785.5,14,33.66
289.0,0.0,0.0,192.0,0.0,889.8,811.0,28,24.1
254.0,0.0,0.0,198.0,0.0,968.0,863.0,7,32.82
135.7,0.0,175.2,178.5,8.0,1076.2,798.9,28,53.52
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,60.95
154.8,183.4,0.0,179.6,9.1,1047.4,696.7,28,45.7
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180,32.07
307.0,0.0,0.0,193.0,0.0,968.0,812.0,100,56.62
288.0,192.0,0.0,192.0,0.0,972.6,716.1,28,37.91
239.6,24.0,78.3,162.6,2.5,967.0,712.6,7,23.52
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,55.16
203.5,183.9,0.0,203.5,0.0,966.0,763.4,7,13.2
333.0,0.0,0.0,192.0,0.0,931.2,842.6,180,43.57
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,24.13
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,180,40.93
387.0,188.0,106.0,157.0,15.9,938.0,845.0,28,46.23
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,56,36.99
230.0,0.0,118.3,146.1,12.8,1029.4,828.7,28,17.54
266.1,98.1,87.1,191.8,6.1,824.1,657.0,56,58.61
166.6,0.0,167.0,170.1,8.9,967.1,780.1,28,59.2
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,15.42
375.0,93.4,93.9,126.6,23.4,961.2,992.6,100,42.55
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,100,56.34
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3,28.6
200.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,31.25
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28,43.8
424.0,0.0,132.0,178.0,22.0,822.0,750.0,7,54.6
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,180,43.5
387.0,20.0,94.0,157.0,11.6,938.0,845.0,56,56.5
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28,33.31
156.0,183.0,0.0,193.0,2.0,1047.0,697.0,28,24.24
255.0,0.0,0.0,192.0,0.0,889.8,945.0,7,23.14
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,40.71
396.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,62.05
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28,49.77
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7,18.13
154.8,183.4,0.0,193.3,9.1,1047.8,696.7,28,31.64
325.0,0.0,0.0,186.0,0.0,1063.0,775.0,28,40.87
238.1,0.0,94.1,186.7,7.0,949.9,847.0,3,13.29
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3,8.2
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,37.27
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90,26.23
424.0,22.0,132.0,168.0,8.5,822.0,750.0,56,33.96
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,24.5
266.0,114.0,0.0,228.0,0.0,932.0,670.0,7,9.74
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90,31.35
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,9.87
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,50.6
212.0,0.0,100.4,159.4,8.7,1003.8,903.6,3,37.17
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,15.75
159.0,149.0,116.0,175.0,10.0,920.0,720.0,28,42.29
307.0,0.0,0.0,193.0,0.0,968.0,812.0,365,29.79
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,33.09
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,33.54
323.7,45.2,141.8,170.2,10.2,942.7,659.9,7,29.79
166.8,0.0,96.7,189.3,5.8,967.1,696.7,56,33.0
255.0,0.0,0.0,192.0,0.0,889.8,945.0,7,18.03
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,31.27
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90,39.15
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,38.07
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,36.84
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,15.61
446.0,24.0,79.0,162.0,11.6,967.0,712.0,91,79.99
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90,32.07
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7,16.89
255.0,0.0,0.0,185.7,0.0,1055.0,744.3,7,71.7
362.6,189.0,0.0,164.9,11.6,936.0,744.2,28,22.84
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,73.7
236.0,0.0,0.0,193.0,0.0,968.0,885.0,90,39.23
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,32.92
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,13.12
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,42.7
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,54.9
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,9.85
424.0,22.0,132.0,178.0,8.5,822.0,824.0,28,36.56
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,7,7.72
148.0,175.0,0.0,171.0,2.0,1000.0,828.0,7,17.96
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,44.3
173.8,170.2,159.9,181.7,8.2,1055.6,771.9,28,50.08
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,20.73
305.3,203.5,0.0,203.5,0.0,965.4,695.8,3,13.18
181.4,0.0,0.0,169.6,7.6,1055.6,777.8,100,69.66
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28,35.87
158.8,0.0,0.0,185.7,0.0,1040.6,734.3,3,10.35
133.0,200.0,0.0,192.0,0.0,927.4,806.2,180,23.4
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,79.3
149.0,118.0,91.0,183.0,7.0,953.0,780.0,28,33.96
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56,39.15
154.0,15.0,141.0,178.0,9.5,842.0,780.0,28,39.94
387.0,20.0,94.0,157.0,10.9,938.0,845.0,7,10.09
233.8,0.0,94.6,197.9,4.6,947.0,852.2,14,28.99
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,56,50.77
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,100,37.27
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,26.91
149.0,118.0,116.0,183.0,7.0,953.0,780.0,28,26.86
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,46.23
289.0,0.0,0.0,192.0,0.0,913.2,895.3,7,9.74
276.0,144.0,0.0,180.0,11.0,903.0,768.0,28,31.18
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,74.7
480.0,0.0,0.0,192.0,0.0,936.0,721.0,3,16.26
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,31.9
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,10.39
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,61.92
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,28.63
500.0,0.0,0.0,200.0,3.0,1124.0,613.0,28,29.55
290.4,0.0,95.7,187.4,5.9,961.2,859.2,14,34.56
266.2,112.3,87.5,178.9,10.4,910.0,745.5,28,74.36
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7,16.28
