Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
FLA,NL,2005,717,732,83,0.3389999999999999,0.409,0.272,0,,,162,0.3389999999999999,0.402
SDP,NL,1991,636,646,84,0.31,0.362,0.244,0,,,162,,
PIT,NL,1974,751,657,88,0.335,0.391,0.2739999999999999,1,4.0,3.0,162,,
CHW,AL,1970,633,822,56,0.315,0.362,0.253,0,,,162,,
HOU,NL,1963,464,640,66,0.283,0.301,0.22,0,,,162,,
CHW,AL,1990,682,633,94,0.32,0.379,0.258,0,,,162,,
LAD,NL,1974,798,561,102,0.342,0.401,0.272,1,1.0,2.0,162,,
CLE,AL,1993,790,813,76,0.335,0.409,0.275,0,,,162,,
PIT,NL,1992,693,595,96,0.324,0.381,0.255,1,2.0,3.0,162,,
TOR,AL,1984,750,696,89,0.331,0.421,0.273,0,,,163,,
CHW,AL,1968,463,527,67,0.284,0.311,0.228,0,,,162,,
TEX,AL,1974,690,698,83,0.336,0.377,0.272,0,,,161,,
CLE,AL,1963,635,702,79,0.301,0.381,0.239,0,,,162,,
MON,NL,1991,579,655,71,0.308,0.357,0.246,0,,,161,,
DET,AL,1962,758,692,85,0.33,0.411,0.248,0,,,161,,
ATL,NL,2000,810,714,95,0.346,0.429,0.271,1,2.0,4.0,162,0.319,0.402
CHC,NL,1983,701,719,71,0.319,0.401,0.261,0,,,162,,
CIN,NL,2012,669,588,97,0.315,0.411,0.251,1,2.0,4.0,162,0.305,0.39
DET,AL,1966,719,698,88,0.321,0.406,0.251,0,,,162,,
ATL,NL,1998,826,581,106,0.342,0.4529999999999999,0.272,1,2.0,3.0,162,,
PIT,NL,1970,729,664,89,0.325,0.406,0.27,1,4.0,3.0,162,,
CAL,AL,1965,527,569,75,0.297,0.341,0.239,0,,,162,,
OAK,AL,2005,772,658,88,0.33,0.407,0.262,0,,,162,0.311,0.382
ARI,NL,2006,773,788,76,0.331,0.424,0.267,0,,,162,0.335,0.431
KCR,AL,2000,879,930,77,0.348,0.425,0.288,0,,,162,0.362,0.474
MON,NL,1982,697,616,86,0.325,0.396,0.262,0,,,162,,
MIL,AL,1988,682,616,87,0.314,0.375,0.257,0,,,162,,
BAL,AL,2001,687,829,63,0.319,0.38,0.248,0,,,162,0.337,0.439
PIT,NL,1985,568,708,57,0.311,0.347,0.247,0,,,161,,
CAL,AL,1990,690,706,80,0.3289999999999999,0.391,0.26,0,,,162,,
CLE,AL,1978,639,694,69,0.3229999999999999,0.379,0.261,0,,,159,,
NYM,NL,1965,495,752,50,0.2769999999999999,0.327,0.221,0,,,164,,
CLE,AL,2005,790,642,93,0.3339999999999999,0.4529999999999999,0.271,0,,,162,0.302,0.387
TEX,AL,1973,619,844,57,0.318,0.361,0.255,0,,,162,,
SFG,NL,1988,670,626,83,0.318,0.368,0.248,0,,,162,,
KCA,AL,1964,621,836,57,0.311,0.379,0.239,0,,,163,,
MON,NL,1971,622,729,71,0.322,0.3429999999999999,0.246,0,,,162,,
BAL,AL,1963,644,621,86,0.31,0.38,0.249,0,,,162,,
CIN,NL,1962,802,685,98,0.332,0.417,0.27,0,,,162,,
TOR,AL,1987,845,655,96,0.336,0.446,0.2689999999999999,0,,,162,,
KCR,AL,2007,706,778,69,0.322,0.3879999999999999,0.261,0,,,162,0.3389999999999999,0.445
HOU,NL,2004,803,698,92,0.342,0.436,0.267,1,6.0,3.0,162,0.3279999999999999,0.417
OAK,AL,1982,691,819,68,0.309,0.367,0.236,0,,,162,,
BAL,AL,1966,755,601,97,0.324,0.409,0.258,1,1.0,1.0,160,,
PHI,NL,1990,646,729,77,0.327,0.363,0.255,0,,,162,,
WSA,AL,1963,578,812,56,0.293,0.351,0.2269999999999999,0,,,162,,
OAK,AL,2010,663,626,81,0.324,0.3779999999999999,0.256,0,,,162,0.313,0.379
HOU,NL,2007,723,813,73,0.33,0.412,0.26,0,,,162,0.337,0.4539999999999999
MIN,AL,2011,619,804,63,0.306,0.36,0.247,0,,,162,0.34,0.435
DET,AL,2011,787,711,95,0.34,0.434,0.2769999999999999,1,4.0,3.0,162,0.321,0.396
SEA,AL,2006,756,792,78,0.325,0.424,0.272,0,,,162,0.337,0.432
BOS,AL,2007,867,657,96,0.362,0.444,0.2789999999999999,1,1.0,1.0,162,0.314,0.392
LAD,NL,2001,758,744,86,0.3229999999999999,0.425,0.255,0,,,162,0.3229999999999999,0.411
CHC,NL,1986,680,781,70,0.318,0.3979999999999999,0.256,0,,,160,,
PIT,NL,1988,651,616,85,0.317,0.369,0.247,0,,,160,,
LAD,NL,1963,640,550,99,0.309,0.357,0.251,1,2.0,1.0,163,,
ARI,NL,2005,696,856,77,0.332,0.421,0.256,0,,,162,0.345,0.455
LAD,NL,1962,842,697,102,0.337,0.4,0.268,0,,,165,,
STL,NL,1970,744,747,76,0.331,0.379,0.263,0,,,162,,
CLE,AL,2001,897,821,91,0.35,0.4579999999999999,0.278,1,6.0,4.0,162,0.341,0.417
ATL,NL,2003,907,740,101,0.349,0.475,0.284,1,1.0,4.0,162,0.327,0.401
CHW,AL,2001,798,795,83,0.3339999999999999,0.451,0.268,0,,,162,0.3339999999999999,0.427
LAD,NL,2007,735,727,82,0.337,0.406,0.275,0,,,162,0.326,0.3989999999999999
COL,NL,2005,740,862,67,0.3329999999999999,0.411,0.267,0,,,162,0.362,0.457
PIT,NL,1983,659,648,84,0.325,0.3829999999999999,0.264,0,,,162,,
MLN,NL,1962,730,665,86,0.326,0.4029999999999999,0.252,0,,,162,,
BOS,AL,1998,876,729,92,0.348,0.4629999999999999,0.28,1,5.0,4.0,162,,
CHW,AL,2007,693,839,72,0.318,0.4039999999999999,0.246,0,,,162,0.3379999999999999,0.435
SFG,NL,1970,831,826,86,0.351,0.409,0.262,0,,,162,,
CLE,AL,2006,870,782,78,0.349,0.457,0.28,0,,,162,0.335,0.431
CIN,NL,1979,731,644,90,0.3379999999999999,0.396,0.264,1,3.0,3.0,161,,
NYY,AL,1983,770,703,91,0.337,0.416,0.273,0,,,162,,
BOS,AL,2003,961,809,95,0.36,0.491,0.289,1,4.0,3.0,162,0.327,0.415
LAD,NL,1991,665,565,93,0.326,0.359,0.253,0,,,162,,
CHW,AL,1977,844,771,90,0.344,0.444,0.278,0,,,162,,
CHC,NL,1991,695,734,77,0.309,0.39,0.253,0,,,160,,
LAA,AL,2008,765,697,100,0.33,0.413,0.268,1,1.0,4.0,162,0.3229999999999999,0.406
NYM,NL,2011,718,742,77,0.335,0.391,0.264,0,,,162,0.332,0.411
STL,NL,2002,787,648,97,0.3379999999999999,0.425,0.268,1,5.0,3.0,162,0.3229999999999999,0.386
NYM,NL,1989,683,595,87,0.311,0.385,0.246,0,,,162,,
MON,NL,1978,633,611,76,0.306,0.379,0.254,0,,,162,,
ATL,NL,2012,700,600,94,0.32,0.389,0.247,1,4.0,5.0,162,0.306,0.3779999999999999
CHC,NL,1975,712,827,75,0.3379999999999999,0.368,0.259,0,,,162,,
CLE,AL,1998,850,779,89,0.347,0.4479999999999999,0.272,1,7.0,3.0,162,,
CIN,NL,1991,689,691,74,0.32,0.4029999999999999,0.258,0,,,162,,
SEA,AL,2011,556,675,67,0.292,0.348,0.233,0,,,162,0.31,0.386
SEA,AL,1996,993,895,85,0.366,0.484,0.287,0,,,161,,
BOS,AL,1999,836,718,94,0.35,0.4479999999999999,0.278,1,6.0,3.0,162,0.315,0.3979999999999999
MIN,AL,1973,738,692,81,0.342,0.3929999999999999,0.27,0,,,162,,
CLE,AL,2000,950,816,90,0.367,0.47,0.288,0,,,162,0.35,0.425
BOS,AL,2012,734,806,69,0.315,0.415,0.26,0,,,162,0.331,0.428
STL,NL,2011,762,692,90,0.341,0.425,0.273,1,7.0,1.0,162,0.319,0.3979999999999999
SEA,AL,1990,640,680,77,0.3329999999999999,0.373,0.259,0,,,162,,
CLE,AL,1988,666,731,78,0.314,0.387,0.261,0,,,162,,
DET,AL,2009,743,745,86,0.331,0.416,0.26,0,,,163,0.336,0.422
OAK,AL,1969,740,678,88,0.3289999999999999,0.376,0.249,0,,,162,,
HOU,NL,1974,653,632,81,0.322,0.3779999999999999,0.263,0,,,162,,
PHI,NL,1997,668,840,68,0.322,0.385,0.255,0,,,162,,
CHC,NL,1970,806,679,84,0.3329999999999999,0.415,0.259,0,,,162,,
BOS,AL,1974,696,661,84,0.3329999999999999,0.377,0.264,0,,,162,,
NYM,NL,1977,587,663,64,0.313,0.346,0.244,0,,,162,,
SFG,NL,1984,682,807,66,0.3279999999999999,0.375,0.265,0,,,162,,
NYM,NL,2000,807,738,94,0.346,0.43,0.263,1,3.0,2.0,162,0.327,0.4029999999999999
SEA,AL,1997,925,833,90,0.355,0.485,0.28,1,5.0,4.0,162,,
NYM,NL,1996,746,779,71,0.324,0.412,0.27,0,,,162,,
CIN,NL,1989,632,691,75,0.309,0.37,0.247,0,,,162,,
CHC,NL,1984,762,658,96,0.331,0.397,0.26,1,2.0,3.0,161,,
PHI,NL,1975,735,694,86,0.342,0.402,0.2689999999999999,0,,,162,,
SDP,NL,1988,594,583,83,0.31,0.351,0.247,0,,,161,,
SFG,NL,1967,652,551,91,0.313,0.372,0.245,0,,,162,,
MIN,AL,1968,562,546,79,0.299,0.35,0.237,0,,,162,,
SDP,NL,1970,681,788,63,0.312,0.391,0.246,0,,,162,,
BAL,AL,1989,708,686,87,0.326,0.379,0.252,0,,,162,,
KCR,AL,2001,729,858,65,0.318,0.409,0.266,0,,,162,0.348,0.45
NYY,AL,1991,674,777,71,0.316,0.387,0.256,0,,,162,,
PHI,NL,2004,840,781,86,0.345,0.4429999999999999,0.267,0,,,162,0.33,0.4479999999999999
MIL,AL,1987,862,817,91,0.346,0.428,0.276,0,,,162,,
KCR,AL,1984,673,686,84,0.317,0.3989999999999999,0.268,1,4.0,3.0,162,,
SFG,NL,2010,697,583,92,0.321,0.408,0.257,1,5.0,1.0,162,0.313,0.37
CIN,NL,2000,825,765,85,0.3429999999999999,0.447,0.2739999999999999,0,,,163,0.341,0.4379999999999999
SDP,NL,1984,686,634,92,0.317,0.371,0.259,1,3.0,2.0,162,,
CHC,NL,1968,612,611,84,0.298,0.366,0.242,0,,,163,,
CIN,NL,1969,798,768,89,0.335,0.422,0.2769999999999999,0,,,163,,
STL,NL,1966,571,577,83,0.298,0.368,0.251,0,,,162,,
SEA,AL,1980,610,793,59,0.308,0.356,0.248,0,,,163,,
SFG,NL,1985,556,674,62,0.299,0.348,0.233,0,,,162,,
LAD,NL,1990,728,685,86,0.3279999999999999,0.382,0.262,0,,,162,,
CLE,AL,2008,805,761,81,0.3389999999999999,0.424,0.262,0,,,162,0.33,0.424
DET,AL,1968,671,492,103,0.307,0.385,0.235,1,1.0,1.0,164,,
WSN,NL,2010,655,742,69,0.318,0.39,0.25,0,,,162,0.33,0.41
ARI,NL,2009,720,782,70,0.324,0.418,0.253,0,,,162,0.33,0.419
TEX,AL,1990,676,696,83,0.331,0.376,0.259,0,,,162,,
ATL,NL,1967,631,640,77,0.307,0.372,0.24,0,,,162,,
TEX,AL,1982,590,749,64,0.308,0.359,0.249,0,,,162,,
BOS,AL,1969,743,736,87,0.3329999999999999,0.415,0.251,0,,,162,,
CHW,AL,2012,748,676,85,0.318,0.422,0.255,0,,,162,0.319,0.405
PIT,NL,2012,651,674,79,0.304,0.395,0.243,0,,,162,0.314,0.39
BAL,AL,1982,774,687,94,0.341,0.419,0.266,0,,,163,,
WSA,AL,1966,557,659,71,0.295,0.355,0.2339999999999999,0,,,159,,
SDP,NL,2010,665,581,90,0.317,0.371,0.246,0,,,162,0.308,0.368
NYY,AL,2012,804,668,95,0.337,0.4529999999999999,0.265,1,3.0,3.0,162,0.311,0.419
TOR,AL,2002,813,828,78,0.327,0.43,0.261,0,,,162,0.344,0.431
DET,AL,1984,829,643,104,0.342,0.432,0.271,1,1.0,1.0,162,,
TEX,AL,2007,816,844,75,0.3279999999999999,0.426,0.263,0,,,162,0.356,0.423
COL,NL,2003,853,892,74,0.344,0.445,0.267,0,,,162,0.359,0.47
MIL,AL,1976,570,655,66,0.311,0.34,0.246,0,,,161,,
LAD,NL,1978,727,573,95,0.3379999999999999,0.402,0.264,1,2.0,2.0,162,,
MIL,AL,1983,764,708,87,0.3329999999999999,0.418,0.2769999999999999,0,,,162,,
KCR,AL,1988,704,648,84,0.321,0.391,0.259,0,,,161,,
STL,NL,1965,707,674,80,0.314,0.371,0.254,0,,,162,,
NYY,AL,1976,730,575,97,0.3279999999999999,0.389,0.2689999999999999,1,3.0,2.0,159,,
MIN,AL,1967,671,590,91,0.309,0.369,0.24,0,,,164,,
PHI,NL,2001,746,719,86,0.3289999999999999,0.414,0.26,0,,,162,0.3289999999999999,0.424
NYY,AL,1996,871,787,92,0.36,0.436,0.288,1,3.0,1.0,162,,
CHC,NL,1979,706,707,80,0.3289999999999999,0.4029999999999999,0.2689999999999999,0,,,162,,
NYM,NL,1969,632,541,100,0.311,0.351,0.242,1,2.0,1.0,162,,
KCR,AL,1983,696,767,79,0.32,0.397,0.271,0,,,163,,
NYY,AL,1979,734,672,89,0.3279999999999999,0.406,0.266,0,,,160,,
HOU,NL,2002,749,695,84,0.3379999999999999,0.417,0.262,0,,,162,0.33,0.41
NYY,AL,2008,789,727,89,0.342,0.427,0.271,0,,,162,0.3289999999999999,0.405
TEX,AL,2012,808,707,93,0.3339999999999999,0.446,0.273,1,5.0,5.0,162,0.309,0.408
TOR,AL,1992,780,682,96,0.3329999999999999,0.414,0.263,1,2.0,1.0,162,,
HOU,NL,1984,693,630,80,0.3229999999999999,0.371,0.264,0,,,162,,
SDP,NL,2004,768,705,87,0.342,0.414,0.273,0,,,162,0.318,0.431
MON,NL,2002,735,718,83,0.3339999999999999,0.418,0.261,0,,,162,0.3289999999999999,0.421
CIN,NL,1976,857,633,102,0.357,0.424,0.28,1,1.0,1.0,162,,
BOS,AL,1992,599,669,73,0.321,0.347,0.246,0,,,162,,
BAL,AL,1997,812,681,98,0.341,0.429,0.268,1,2.0,3.0,162,,
CIN,NL,2011,735,720,79,0.326,0.408,0.256,0,,,162,0.325,0.415
CHC,NL,1999,747,920,67,0.3289999999999999,0.42,0.257,0,,,162,0.346,0.467
SDP,NL,1969,468,746,52,0.285,0.3289999999999999,0.225,0,,,162,,
CIN,NL,2001,735,850,66,0.324,0.419,0.262,0,,,162,0.341,0.455
PIT,NL,2002,641,730,72,0.319,0.381,0.244,0,,,161,0.342,0.423
CHW,AL,1976,586,745,64,0.314,0.349,0.255,0,,,161,,
BOS,AL,2006,820,825,86,0.351,0.435,0.2689999999999999,0,,,162,0.3429999999999999,0.447
CAL,AL,1976,550,631,76,0.306,0.318,0.235,0,,,162,,
DET,AL,1983,789,679,92,0.335,0.427,0.2739999999999999,0,,,162,,
ARI,NL,2008,720,706,82,0.327,0.415,0.251,0,,,162,0.318,0.3979999999999999
SFG,NL,1987,783,669,90,0.324,0.43,0.26,1,3.0,3.0,162,,
STL,NL,1989,632,608,86,0.321,0.363,0.258,0,,,164,,
MON,NL,1977,665,736,75,0.318,0.402,0.26,0,,,162,,
KCR,AL,1973,755,752,88,0.3389999999999999,0.381,0.261,0,,,162,,
NYY,AL,1987,788,758,89,0.336,0.418,0.262,0,,,162,,
MIN,AL,2010,781,671,94,0.341,0.422,0.273,1,4.0,4.0,162,0.317,0.417
PHI,NL,1967,612,581,82,0.313,0.357,0.242,0,,,162,,
LAA,AL,2010,681,702,80,0.311,0.39,0.248,0,,,162,0.327,0.4029999999999999
CHW,AL,1962,707,658,85,0.3339999999999999,0.372,0.257,0,,,162,,
PIT,NL,1987,723,744,80,0.33,0.4029999999999999,0.264,0,,,162,,
CAL,AL,1980,698,797,65,0.332,0.3779999999999999,0.265,0,,,160,,
OAK,AL,1968,569,544,82,0.304,0.3429999999999999,0.24,0,,,163,,
CLE,AL,1979,760,805,81,0.34,0.384,0.258,0,,,161,,
SEA,AL,1999,859,905,79,0.3429999999999999,0.455,0.2689999999999999,0,,,162,0.368,0.4539999999999999
TEX,AL,1988,637,735,70,0.32,0.368,0.252,0,,,161,,
OAK,AL,1973,758,615,94,0.3329999999999999,0.389,0.26,1,3.0,1.0,162,,
HOU,NL,1990,573,656,75,0.313,0.345,0.242,0,,,162,,
OAK,AL,1996,861,900,78,0.344,0.452,0.265,0,,,162,,
OAK,AL,2003,768,643,96,0.327,0.417,0.254,1,3.0,4.0,162,0.314,0.376
OAK,AL,1978,532,690,69,0.303,0.351,0.245,0,,,162,,
MIL,AL,1991,799,744,83,0.336,0.396,0.271,0,,,162,,
PIT,NL,1986,663,700,64,0.321,0.374,0.25,0,,,162,,
CIN,NL,1968,690,673,83,0.32,0.389,0.273,0,,,163,,
DET,AL,1999,747,882,69,0.326,0.4429999999999999,0.261,0,,,161,0.349,0.451
DET,AL,2003,591,928,43,0.3,0.375,0.24,0,,,162,0.352,0.461
TEX,AL,2011,855,677,96,0.34,0.46,0.283,1,3.0,2.0,162,0.307,0.392
MIL,AL,1977,639,765,67,0.314,0.389,0.258,0,,,162,,
NYM,NL,2012,650,709,74,0.316,0.386,0.249,0,,,162,0.315,0.401
KCR,AL,1999,856,921,64,0.348,0.433,0.282,0,,,161,0.365,0.4539999999999999
MIL,AL,1989,707,679,81,0.318,0.382,0.259,0,,,162,,
TBR,AL,2012,697,577,90,0.317,0.3939999999999999,0.24,0,,,162,0.294,0.352
SDP,NL,1973,548,770,60,0.296,0.351,0.244,0,,,162,,
BAL,AL,1973,754,561,97,0.345,0.389,0.266,1,2.0,3.0,162,,
PHI,NL,1991,629,680,78,0.303,0.358,0.241,0,,,162,,
CHC,NL,1989,702,623,93,0.319,0.387,0.261,1,2.0,3.0,162,,
MON,NL,1989,632,630,81,0.319,0.361,0.247,0,,,162,,
BAL,AL,1964,679,567,97,0.316,0.387,0.248,0,,,163,,
TEX,AL,1978,692,632,87,0.332,0.381,0.253,0,,,162,,
DET,AL,2007,887,797,88,0.345,0.4579999999999999,0.287,0,,,162,0.3379999999999999,0.427
SFG,NL,2003,755,638,100,0.3379999999999999,0.425,0.264,1,2.0,4.0,161,0.321,0.386
HOU,NL,1989,647,669,86,0.306,0.345,0.239,0,,,162,,
HOU,NL,1978,605,634,74,0.313,0.355,0.258,0,,,162,,
ARI,NL,2010,713,836,65,0.325,0.416,0.25,0,,,162,0.34,0.4479999999999999
ATL,NL,1984,632,655,80,0.317,0.361,0.247,0,,,162,,
CHW,AL,1998,861,931,80,0.3389999999999999,0.444,0.271,0,,,163,,
PIT,NL,1990,733,619,95,0.33,0.405,0.259,1,2.0,3.0,162,,
MON,NL,1976,531,734,55,0.291,0.34,0.235,0,,,162,,
PIT,NL,1980,666,646,83,0.322,0.3879999999999999,0.266,0,,,162,,
DET,AL,1993,899,837,85,0.362,0.434,0.275,0,,,162,,
CHW,AL,1963,683,544,94,0.3229999999999999,0.365,0.25,0,,,162,,
STL,NL,1964,715,652,93,0.324,0.392,0.272,1,2.0,1.0,162,,
MON,NL,1980,694,629,90,0.324,0.3879999999999999,0.257,0,,,162,,
KCR,AL,1971,603,566,85,0.313,0.353,0.25,0,,,161,,
KCR,AL,1969,586,688,69,0.309,0.3379999999999999,0.24,0,,,163,,
PHI,NL,1962,705,759,81,0.33,0.39,0.26,0,,,161,,
MIN,AL,2008,829,745,88,0.34,0.408,0.2789999999999999,0,,,163,0.324,0.431
ATL,NL,1977,678,895,61,0.32,0.376,0.254,0,,,162,,
PIT,NL,1965,675,580,90,0.317,0.382,0.265,0,,,163,,
MIN,AL,1964,737,678,79,0.322,0.427,0.252,0,,,163,,
SFG,NL,1976,595,686,74,0.312,0.345,0.246,0,,,162,,
SFG,NL,2000,925,747,97,0.362,0.472,0.278,1,1.0,4.0,162,0.342,0.412
DET,AL,2008,821,857,74,0.34,0.444,0.271,0,,,162,0.353,0.437
MIN,AL,1988,759,672,91,0.34,0.421,0.2739999999999999,0,,,162,,
ANA,AL,2002,851,644,99,0.341,0.433,0.282,1,3.0,1.0,162,0.314,0.392
KCA,AL,1965,585,755,59,0.309,0.358,0.24,0,,,162,,
KCR,AL,1993,675,694,84,0.32,0.397,0.263,0,,,162,,
CHW,AL,2000,978,839,95,0.356,0.47,0.286,1,2.0,4.0,162,0.346,0.434
TOR,AL,1977,605,822,54,0.316,0.365,0.252,0,,,161,,
DET,AL,1964,699,678,85,0.319,0.395,0.253,0,,,163,,
ARI,NL,2007,712,732,90,0.321,0.413,0.25,1,3.0,3.0,162,0.3339999999999999,0.42
NYY,AL,1980,820,662,103,0.3429999999999999,0.425,0.267,1,1.0,3.0,162,,
OAK,AL,1971,691,564,101,0.321,0.384,0.252,1,1.0,3.0,161,,
KCR,AL,1998,714,899,72,0.324,0.3989999999999999,0.263,0,,,161,,
DET,AL,1982,729,685,83,0.324,0.418,0.266,0,,,162,,
CLE,AL,1999,1009,860,97,0.373,0.467,0.289,1,4.0,4.0,162,0.347,0.439
BAL,AL,1992,705,656,89,0.34,0.3979999999999999,0.259,0,,,162,,
MIL,AL,1997,681,742,78,0.325,0.3979999999999999,0.26,0,,,161,,
LAD,NL,1973,675,565,95,0.3229999999999999,0.371,0.263,0,,,162,,
MLN,NL,1963,677,603,84,0.312,0.37,0.244,0,,,163,,
DET,AL,2002,575,864,55,0.3,0.379,0.248,0,,,161,0.3429999999999999,0.455
CIN,NL,1963,648,594,86,0.31,0.371,0.246,0,,,162,,
OAK,AL,1986,731,760,76,0.322,0.39,0.252,0,,,162,,
WSN,NL,2012,731,594,98,0.322,0.428,0.261,1,1.0,4.0,162,0.303,0.373
ATL,NL,1993,767,559,104,0.331,0.408,0.262,1,1.0,3.0,162,,
MON,NL,1987,741,720,91,0.3279999999999999,0.401,0.265,0,,,162,,
PHI,NL,1978,708,586,90,0.3279999999999999,0.3879999999999999,0.258,1,4.0,3.0,162,,
CAL,AL,1975,628,723,72,0.322,0.3279999999999999,0.246,0,,,161,,
PHI,NL,1982,664,654,89,0.3229999999999999,0.376,0.26,0,,,162,,
SEA,AL,1988,664,744,68,0.317,0.3979999999999999,0.257,0,,,161,,
PHI,NL,1998,713,808,75,0.326,0.395,0.264,0,,,162,,
STL,NL,1998,810,782,83,0.341,0.441,0.258,0,,,163,,
TEX,AL,2001,890,968,73,0.344,0.471,0.275,0,,,162,0.362,0.494
PIT,NL,2003,753,801,75,0.3379999999999999,0.42,0.267,0,,,162,0.336,0.431
DET,AL,1975,570,786,57,0.301,0.366,0.249,0,,,159,,
BOS,AL,1973,738,647,89,0.3379999999999999,0.401,0.267,0,,,162,,
NYY,AL,1997,891,688,96,0.362,0.436,0.287,1,3.0,4.0,162,,
CHW,AL,2010,752,704,88,0.332,0.42,0.268,0,,,162,0.325,0.395
CIN,NL,2010,790,685,91,0.3379999999999999,0.436,0.272,1,6.0,4.0,162,0.3229999999999999,0.396
PIT,NL,2010,587,866,57,0.304,0.373,0.242,0,,,162,0.348,0.449
BAL,AL,1991,686,796,67,0.319,0.401,0.254,0,,,162,,
PHI,NL,1983,696,635,90,0.3289999999999999,0.373,0.249,1,4.0,2.0,163,,
